motif_chr	motif_start	motif_end	motif_index	salt_tolerance	U	C	D	strand	xchip_signal	CUTRUN_signal	CUTTag_signal
chr1	4826266	4826267	1301	-0.290499117518367	1	1	0	-	0.79	0	0.1
chr1	5286452	5286453	1336	-0.290499117518367	0	1	0	+	1.48	0	0.1
chr1	5482131	5482132	1355	-0.310666527825655	0	1	0	-	1.03	0.34	0.1
chr1	5510060	5510061	1359	4.44882595049073	1	1	0	+	13.05	1.36	2.4
chr1	5598735	5598736	1374	-0.2628526316484	0	1	0	-	2.45	0	0.21
chr1	5621227	5621228	1378	-0.0122689861259965	1	1	0	-	4.05	0.51	0.42
chr1	5637373	5637374	1379	-0.219466999798894	0	1	0	+	3.02	0.68	0.1
chr1	5641061	5641062	1380	-0.225185223902856	0	1	0	+	1.54	0.34	0.42
chr1	5719370	5719371	1387	-0.310666527825655	0	1	0	+	0.69	0	0
chr1	5745980	5745981	1396	2.50835794250345	1	1	0	-	16.01	1.53	1.98
chr1	5830895	5830896	1409	-0.283350534220135	0	1	0	+	4.74	0.34	0.31
chr1	5893866	5893867	1432	0.0238817824938779	1	1	0	-	10.94	1.87	0.83
chr1	5916172	5916173	1436	-0.200324796678833	0	1	0	-	17.82	0.68	0.21
chr1	5975357	5975358	1446	-0.270153234553493	1	1	1	-	7.34	0	0.52
chr1	5980555	5980556	1448	-0.190151855196396	0	1	0	+	3.17	0.17	0.31
chr1	5992404	5992405	1450	-0.303517944527422	0	1	0	-	0.85	0.68	3.02
chr1	6028765	6028766	1465	-0.310666527825655	0	1	0	-	1.42	0	0.63
chr1	6035879	6035880	1467	-0.300493586343218	0	1	1	+	1.72	0	0.63
chr1	6041633	6041634	1470	0.584992718885011	0	1	0	+	14.14	1.19	1.04
chr1	6048256	6048257	1472	-0.293345003044985	0	1	0	-	0.88	0	0.83
chr1	6053104	6053105	1473	-0.232333807201088	0	1	0	+	9.64	1.36	0.63
chr1	6080777	6080778	1478	-0.281351383223157	0	1	0	-	2.75	0	0.31
chr1	6082498	6082499	1480	-0.259980293071056	0	1	0	+	4.68	0.34	0.63
chr1	6099922	6099923	1488	-0.310666527825655	0	1	0	-	0.85	0.17	0.31
chr1	6105353	6105354	1492	-0.310666527825655	0	1	0	+	2.36	0	0.1
chr1	6109016	6109017	1497	-0.270153234553493	0	1	0	+	4.14	0.34	0.52
chr1	6137934	6137935	1503	-0.290499117518367	0	1	0	-	1.99	0.34	0.21
chr1	6141798	6141799	1505	-0.310666527825655	0	1	0	+	4.95	0.68	0.21
chr1	6162965	6162966	1510	-0.290499117518367	0	1	0	+	1.09	0.17	0.1
chr1	6171710	6171711	1515	-0.300493586343218	0	1	0	-	3.69	0.17	0.52
chr1	6183675	6183676	1522	-0.310666527825655	1	1	0	+	5.44	1.19	0.21
chr1	6185979	6185980	1523	-0.0704591067700267	0	1	0	-	14.05	0.17	0.42
chr1	6205379	6205380	1526	2.71715224861668	0	1	1	-	24.29	4.07	6.67
chr1	6209261	6209262	1528	-0.310666527825655	0	1	0	-	3.29	1.02	1.46
chr1	6238819	6238820	1533	-0.159811503406671	0	1	0	+	10.27	1.02	1.15
chr1	6245225	6245226	1535	-0.200324796678833	0	1	0	-	16.25	0.34	1.67
chr1	6246895	6246896	1537	3.86917825433058	0	1	0	+	20.33	3.9	6.15
chr1	6252773	6252774	1539	-0.310666527825655	0	1	0	+	1.09	0.17	0.42
chr1	6273046	6273047	1546	-0.310666527825655	1	1	1	+	1.27	0	0.31
chr1	6280989	6280990	1550	-0.0906265170773144	0	1	1	-	8.46	0.34	1.04
chr1	6343612	6343613	1566	2.43698704215953	1	1	0	-	24.35	1.36	5.42
chr1	6348115	6348116	1567	0.0199184970538452	0	1	0	+	20.93	1.36	1.35
chr1	6357438	6357439	1571	0.173467387392586	0	1	1	-	9.67	0.68	0.73
chr1	6363229	6363230	1574	0.0188582733126959	1	1	0	+	21.33	1.7	0.83
chr1	6378278	6378279	1576	-0.281351383223157	0	1	0	-	8.04	0.34	0.42
chr1	6397199	6397200	1580	-0.310666527825655	0	1	0	-	2.6	0.34	0.31
chr1	6404844	6404845	1581	1.05735810032017	0	1	1	-	28.61	5.09	1.88
chr1	6409253	6409254	1582	-0.310666527825655	0	1	0	+	1.63	0.85	0.1
chr1	6414492	6414493	1584	0.483307290094957	0	1	1	-	13.71	0.51	1.56
chr1	6423626	6423627	1587	0.565225560806815	0	1	0	+	19.27	1.36	2.5
chr1	6437204	6437205	1588	-0.310666527825655	0	1	0	-	2.02	0.34	1.15
chr1	6438200	6438201	1590	6.10839596945636	1	1	0	-	20.24	3.05	5.94
chr1	6440842	6440843	1592	-0.261005500258283	0	1	0	-	8.82	2.04	2.81
chr1	6445305	6445306	1593	-0.261005500258283	1	1	0	+	1.45	0.85	1.88
chr1	6448332	6448333	1598	-0.310666527825655	0	1	0	-	0.82	0.34	0.21
chr1	6456980	6456981	1604	-0.301518793530445	0	1	0	-	0.88	0.34	0.52
chr1	6471211	6471212	1611	-0.310666527825655	0	1	0	+	0.79	0.17	0.42
chr1	6472597	6472598	1613	0.0187412702597573	0	1	0	+	15.71	0.68	0.63
chr1	6475681	6475682	1614	3.78442162980797	1	1	0	-	20.33	7.64	11.05
chr1	6480984	6480985	1615	-0.303517944527422	0	1	0	-	0.94	0.51	0.1
chr1	6486644	6486645	1622	0.832149460543718	0	1	0	+	19.7	1.7	4.48
chr1	6490046	6490047	1623	3.34019184398198	0	1	0	-	24.14	6.79	4.59
chr1	6523804	6523805	1636	-0.290499117518367	0	1	0	-	16.31	0.17	0.63
chr1	6547470	6547471	1638	-0.310666527825655	0	1	0	-	1.51	0.34	0.1
chr1	6554609	6554610	1639	3.08307031290453	1	1	0	-	25.65	3.9	5.63
chr1	6580981	6580982	1646	-0.300493586343218	0	1	1	+	4.08	0.17	1.15
chr1	6584310	6584311	1647	-0.261005500258283	1	1	0	-	2.08	0.17	0.42
chr1	6609787	6609788	1655	-0.301518793530445	0	1	0	-	4.8	0.34	0
chr1	6625124	6625125	1664	-0.301518793530445	0	1	0	-	2.54	1.19	1.46
chr1	6634784	6634785	1666	-0.229639941281331	0	1	0	-	6.71	0.17	1.04
chr1	6646697	6646698	1669	-0.195336304051573	1	1	0	-	13.65	1.7	1.15
chr1	6664829	6664830	1672	-0.310666527825655	0	1	0	-	1.09	0	0.31
chr1	6688471	6688472	1674	-0.310666527825655	0	1	0	+	1.81	0.17	0
chr1	6701905	6701906	1675	1.39631388492988	0	1	0	-	36.07	6.62	9.07
chr1	6720173	6720174	1679	0.163741941227535	0	1	0	+	20.81	2.55	0.52
chr1	6786192	6786193	1685	-0.300493586343218	0	1	0	+	1.51	0.34	0.31
chr1	6794341	6794342	1686	-0.310666527825655	0	1	0	+	14.38	0.17	0
chr1	6890068	6890069	1690	-0.0161400788398419	0	1	0	-	15.07	0.68	0.52
chr1	6931977	6931978	1695	-0.310666527825655	0	1	0	-	0.63	0	0
chr1	6963780	6963781	1698	-0.310666527825655	0	1	0	+	0.57	0.17	0.21
chr1	6998510	6998511	1703	-0.310666527825655	0	1	0	+	0.85	0.34	0
chr1	7070584	7070585	1713	0.664822952340942	0	1	0	-	11	0.85	0.42
chr1	7112063	7112064	1718	-0.310666527825655	0	1	0	+	0.97	0.17	0.42
chr1	7117611	7117612	1720	-0.300493586343218	0	1	0	-	1.18	0.34	0.42
chr1	7121055	7121056	1721	-0.28032617603593	0	1	0	-	2.02	0.34	0.52
chr1	7218425	7218426	1729	1.68931940135764	1	1	0	-	19.6	3.9	0.42
chr1	7224933	7224934	1732	-0.310666527825655	0	1	0	+	1.9	0	0.42
chr1	7287225	7287226	1744	-0.310666527825655	0	1	1	+	0.94	0	0
chr1	7449946	7449947	1774	-0.300493586343218	0	1	0	+	1.24	0	0.21
chr1	7454252	7454253	1777	-0.290499117518367	0	1	0	+	5.32	0	0
chr1	7460965	7460966	1779	-0.310666527825655	0	1	0	-	1.18	0.17	0.31
chr1	7475282	7475283	1786	-0.300493586343218	0	1	0	-	4.59	0.34	0.31
chr1	7539917	7539918	1800	0.391625250196888	0	1	0	-	10.03	0.85	1.46
chr1	7553477	7553478	1812	-0.300493586343218	0	1	0	+	1.06	0.17	0.21
chr1	7561613	7561614	1813	0.135337607086877	0	1	0	-	8.49	0	0.42
chr1	7577433	7577434	1817	-0.300493586343218	0	1	0	-	5.92	0.17	0.94
chr1	7581884	7581885	1818	-0.310666527825655	0	1	0	+	0.91	0	0.31
chr1	7640112	7640113	1833	-0.310666527825655	0	1	0	-	0.94	0	0.1
chr1	7641969	7641970	1835	-0.310666527825655	0	1	0	-	0.48	0	0.31
chr1	7647414	7647415	1838	2.67249485941564	0	1	0	-	21.54	0.85	0.94
chr1	7652741	7652742	1843	-0.301518793530445	0	1	0	+	2.27	0	0
chr1	7667714	7667715	1845	6.43009893185236	1	1	1	+	24.44	3.05	5.42
chr1	7669648	7669649	1847	0.315622172833746	0	1	0	+	19.21	2.55	3.02
chr1	7753003	7753004	1861	-0.012624288717195	0	1	0	-	19.06	2.04	1.25
chr1	7755641	7755642	1862	-0.261005500258283	0	1	0	-	5.65	0.17	0
chr1	7798483	7798484	1868	-0.303517944527422	0	1	0	+	1.45	0.17	0.31
chr1	7856592	7856593	1872	-0.291345852048008	0	1	0	-	1.93	0.17	0.1
chr1	7902942	7902943	1875	1.2369737040553	0	1	0	-	16.55	2.72	1.98
chr1	7942481	7942482	1878	-0.310666527825655	0	1	0	-	7.4	0	0.42
chr1	7975451	7975452	1885	2.20446786639402	0	1	0	+	22.17	3.22	2.61
chr1	7982483	7982484	1887	2.65924108371642	0	1	0	+	20.84	2.55	1.98
chr1	8015179	8015180	1890	-0.240838089950995	0	1	0	+	17.1	2.04	0.42
chr1	8031385	8031386	1891	-0.310666527825655	0	1	0	+	23.47	1.19	0.31
chr1	8160075	8160076	1897	-0.310666527825655	0	1	0	-	0.79	0	0.1
chr1	8165847	8165848	1898	-0.303517944527422	0	1	0	-	6.31	0.34	0.31
chr1	8239102	8239103	1909	-0.310666527825655	0	1	0	-	3.66	0	0
chr1	8314480	8314481	1915	-0.118273002947282	0	1	0	-	19.82	1.36	1.15
chr1	8315962	8315963	1916	-0.303517944527422	0	1	0	-	1.9	0.68	0.52
chr1	8349170	8349171	1925	2.55347688466466	0	1	0	-	14.08	2.04	3.96
chr1	8351852	8351853	1926	0.490856125622282	0	1	0	-	11.21	1.7	1.67
chr1	8374993	8374994	1938	-0.112641058774719	0	1	0	+	8.58	0	0.21
chr1	8409181	8409182	1940	-0.310666527825655	0	1	0	+	4.5	0.34	0.31
chr1	8431405	8431406	1941	-0.301518793530445	0	1	0	-	0.79	0	0.1
chr1	8439658	8439659	1943	-0.290499117518367	0	1	0	-	4.65	0.17	0.31
chr1	8444029	8444030	1945	-0.300493586343218	0	1	0	-	2.69	0.51	0.21
chr1	8465174	8465175	1949	-0.310666527825655	1	1	0	+	1.18	0	0
chr1	8571318	8571319	1959	-0.303517944527422	0	1	0	-	6.77	0	0
chr1	8583813	8583814	1960	-0.303517944527422	0	1	0	+	3.23	0.17	0
chr1	8616915	8616916	1962	-0.300493586343218	0	1	0	+	2.36	0	0.31
chr1	8671497	8671498	1966	-0.161810654403649	0	1	0	-	23.26	0.85	0.21
chr1	8719073	8719074	1968	-0.300493586343218	0	1	0	+	5.14	0.51	0.21
chr1	8726702	8726703	1969	-0.170510893381473	0	1	0	-	21.84	1.02	0.63
chr1	8739551	8739552	1970	-0.169984444889108	0	1	1	-	6.46	0.17	0.21
chr1	8764148	8764149	1972	-0.310666527825655	0	1	0	-	8.85	0.34	0.21
chr1	8776331	8776332	1974	-0.310666527825655	0	1	0	-	3.29	0	0
chr1	8794810	8794811	1975	-0.310666527825655	1	1	0	+	1.9	0	0.21
chr1	8815078	8815079	1976	-0.310666527825655	0	1	0	+	8.49	0	0.1
chr1	8817796	8817797	1977	-0.310666527825655	0	1	0	+	0.79	0	0.52
chr1	8831535	8831536	1978	-0.164504520323406	0	1	0	+	6.62	0.68	0.1
chr1	8849083	8849084	1979	2.98739791448787	0	1	0	-	25.92	2.04	3.65
chr1	8862644	8862645	1981	0.595282663420387	0	1	0	+	12.57	1.19	1.67
chr1	8866224	8866225	1983	-0.310666527825655	0	1	0	+	1.93	0.17	0.1
chr1	8871735	8871736	1984	-0.281351383223157	0	1	0	+	5.77	0.17	0.31
chr1	8879477	8879478	1985	-0.310666527825655	0	1	0	-	4.23	0.68	0.94
chr1	8903693	8903694	1988	-0.310666527825655	0	1	0	-	0.91	0	0.1
chr1	8918268	8918269	1993	-0.103823816743956	0	1	0	+	18.4	1.19	0.94
chr1	8963090	8963091	1999	0.0794219738392071	1	1	0	+	10.3	0.85	1.35
chr1	8988225	8988226	2004	1.86446446788723	1	1	0	-	22.26	3.22	2.4
chr1	8993492	8993493	2005	-0.201993455411363	0	1	0	-	2.48	0	0.1
chr1	9005295	9005296	2007	3.00116306337293	1	1	0	-	23.41	2.55	3.44
chr1	9010207	9010208	2008	0.364880654721626	0	1	0	+	11.84	0.34	0.42
chr1	9101731	9101732	2030	-0.210319265503684	0	1	0	-	10.97	0.17	0.21
chr1	9110936	9110937	2034	3.81383817133209	0	1	1	+	24.53	3.73	3.44
chr1	9128745	9128746	2038	-0.310666527825655	0	1	0	+	1.27	0.17	0
chr1	9142428	9142429	2040	3.01263604636604	1	1	0	+	16.19	2.04	1.25
chr1	9181453	9181454	2045	1.45353597455895	0	1	0	+	17.13	2.72	1.46
chr1	9196629	9196630	2048	0.167749163288624	1	1	0	-	16.1	1.19	0.52
chr1	9219769	9219770	2050	-0.310666527825655	0	1	0	-	0.85	0.34	0
chr1	9234595	9234596	2053	-0.182469496649378	0	1	0	+	12.78	2.55	7.29
chr1	9250227	9250228	2057	0.307296362741426	0	1	0	-	10.45	0	0.94
chr1	9267286	9267287	2060	1.98294034633084	1	1	1	+	21.69	3.56	2.19
chr1	9273510	9273511	2063	-0.310666527825655	0	1	0	-	1.54	0.51	0.42
chr1	9289188	9289189	2067	8.76769499503408	1	1	0	+	29.94	6.11	1.46
chr1	9292624	9292625	2068	-0.310666527825655	1	1	0	+	1.36	0	0.83
chr1	9295185	9295186	2070	-0.300493586343218	0	1	0	+	1.57	0.17	0.42
chr1	9433820	9433821	2100	-0.300493586343218	0	1	0	-	1.39	0.17	0.21
chr1	9448343	9448344	2102	-0.303517944527422	0	1	0	-	1.51	0	0.21
chr1	9455961	9455962	2103	-0.252831709772823	0	1	0	-	14.71	0.51	0.31
chr1	9491246	9491247	2108	1.70655633331174	0	1	1	-	20.54	2.38	2.29
chr1	9495413	9495414	2109	4.97666183373911	1	1	1	+	22.57	3.73	6.57
chr1	9539660	9539661	2112	-0.310666527825655	0	1	0	+	1.3	0.68	3.23
chr1	9546775	9546776	2113	-0.301518793530445	0	1	0	+	2.11	0	0.21
chr1	9573925	9573926	2117	-0.310666527825655	0	1	0	-	9.24	0.34	0.21
