motif_chr	motif_start	motif_end	motif_index	salt_tolerance	strand	xchip_signal	peak_group
chr2	41497102	41497103	127198	0.4548514	-	7.52	N1
chr14	87805421	87805422	68298	4.021262	+	7.55	N1
chr12	127711329	127711330	56803	1.151653	-	7.61	N1
chr12	108373304	108373305	54472	0.7100193	+	7.64	N1
chr14	22132265	22132266	63985	2.369002	+	7.67	N1
chr12	104653925	104653926	54146	1.324574	+	7.67	N1
chr8	138700533	138700534	239107	4.016037	-	7.73	N1
chrX	132975426	132975427	260098	1.571366	+	7.76	N1
chr17	77741305	77741306	100925	0.6619615	-	7.79	N1
chr17	7324372	7324373	92698	0.1198423	+	7.79	N1
chr11	115170412	115170413	44289	1.53373	+	7.82	N1
chr17	36009511	36009512	95677	1.32761	-	7.85	N1
chr12	3135644	3135645	47350	2.385298	+	7.85	N1
chr12	15276272	15276273	48510	1.244908	+	7.88	N1
chr13	114352903	114352904	63587	-0.1223408	+	7.88	N1
chr4	5821793	5821794	176599	1.851718	+	7.91	N1
chrX	68599757	68599758	256719	3.886792	+	7.91	N1
chr10	77037494	77037495	28090	1.261595	+	7.94	N1
chr3	75723691	75723692	167350	0.9227812	+	7.94	N1
chr17	10772621	10772622	93211	2.40882	+	7.94	N1
chr12	9331325	9331326	48103	2.986664	+	7.94	N1
chr1	3518382	3518383	1054	2.19602751631311	+	7.94	N1
chr3	159252981	159252982	172578	0.4192211	-	7.97	N1
chrX	140057135	140057136	260547	2.393511	+	7.97	N1
chr20	3749917	3749918	142783	0.6351134	-	8.01	N1
chrX	102346149	102346150	258401	3.902033	+	8.07	N1
chrX	133776286	133776287	260137	1.006707	-	8.07	N1
chr2	162327311	162327312	135960	0.7763204	+	8.1	N1
chr18	13159684	13159685	104641	4.823628	-	8.1	N1
chr4	129641368	129641369	183437	2.524824	-	8.1	N1
chr8	139483508	139483509	239196	0.864209	+	8.13	N1
chr1	17755274	17755275	3452	1.650199	+	8.13	N1
chr22	29313336	29313337	156670	1.002098	-	8.13	N1
chr15	71443638	71443639	77050	2.300102	-	8.16	N1
chr14	23929951	23929952	64257	8.445936	-	8.16	N1
chrX	155149106	155149107	261770	0.9782566	-	8.16	N1
chrX	8879945	8879946	253193	1.191951	-	8.19	N1
chr3	2156438	2156439	161013	1.774315	-	8.22	N1
chr14	95774512	95774513	69234	3.582514	-	8.22	N1
chr3	10942238	10942239	161693	1.158713	-	8.25	N1
chr14	66359618	66359619	66693	0.9422105	+	8.28	N1
chr7	1710064	1710065	216742	3.750151	+	8.28	N1
chr16	7025788	7025789	82919	2.770713	+	8.31	N1
chr16	35432265	35432266	85953	2.697128	-	8.34	N1
chr14	78448657	78448658	67912	4.202648	+	8.4	N1
chr10	84214771	84214772	28800	1.362767	-	8.43	N1
chr5	15598485	15598486	188456	3.883588	+	8.43	N1
chrX	101799499	101799500	258361	1.649967	-	8.43	N1
chr9	84173282	84173283	245384	1.30389	-	8.46	N1
chr18	13813454	13813455	104722	2.950331	+	8.46	N1
chr18	63994984	63994985	109896	4.357603	-	8.49	N1
chr9	76303160	76303161	244925	0.7668437	-	8.49	N1
chr13	29924366	29924367	58833	1.440751	-	8.52	N1
chr14	70074138	70074139	67057	1.495819	-	8.52	N1
chr12	125550030	125550031	56654	3.392379	+	8.55	N1
chr8	4834041	4834042	230065	0.5978397	+	8.55	N1
chr11	11156162	11156163	35748	2.832459	+	8.58	N1
chr15	26889498	26889499	72998	2.033859	+	8.58	N1
chr10	120337117	120337118	32009	2.156677	-	8.58	N1
chrX	27684004	27684005	254397	1.956646	-	8.58	N1
chr10	131454310	131454311	33374	7.897972	+	8.58	N1
chr18	11553522	11553523	104461	2.844406	-	8.61	N1
chr14	22084604	22084605	63978	1.495685	+	8.61	N1
chr3	147362018	147362019	171829	2.919985	+	8.64	N1
chrX	151681049	151681050	261179	2.053678	-	8.64	N1
chr16	49000724	49000725	86209	0.4791979	+	8.67	N1
chr8	141075681	141075682	239445	2.438454	-	8.67	N1
chr18	37476388	37476389	108090	2.1929	-	8.67	N1
chrX	138745439	138745440	260476	1.670123	-	8.76	N1
chr21	26716078	26716079	151917	2.918692	+	8.79	N1
chr12	67025699	67025700	52161	2.668927	+	8.79	N1
chr18	35950571	35950572	107917	6.753235	-	8.82	N1
chr17	22694825	22694826	94586	3.38015	-	8.88	N1
chr10	104580979	104580980	30780	2.28498	+	8.88	N1
chr1	3320133	3320134	970	1.65914100225875	-	8.88	N1
chr10	120423536	120423537	32013	1.203514	+	8.88	N1
chr13	76473736	76473737	61258	2.324371	-	8.91	N1
chr16	6081541	6081542	82864	6.032057	-	8.94	N1
chr3	157347973	157347974	172465	2.23698	-	8.94	N1
chrX	11758500	11758501	253435	1.128926	+	8.97	N1
chr14	76547024	76547025	67694	6.895172	-	8.97	N1
chr17	10327756	10327757	93174	2.84336	+	8.97	N1
chr15	33737886	33737887	73819	1.778984	-	9	N1
chr19	33246133	33246134	117801	2.176739	+	9.03	N1
chr13	30335270	30335271	58883	2.999857	-	9.06	N1
chr18	70599019	70599020	110125	3.187962	+	9.09	N1
chrX	115690806	115690807	259135	1.0903	-	9.09	N1
chr7	143837423	143837424	227382	6.801743	-	9.09	N1
chr5	61357962	61357963	191568	0.6725577	-	9.12	N1
chr14	64764948	64764949	66532	1.560859	-	9.12	N1
chr16	17544982	17544983	83947	1.566835	+	9.12	N1
chr13	21638428	21638429	58123	0.8896092	+	9.12	N1
chrX	107894273	107894274	258757	3.253423	-	9.15	N1
chr13	25375940	25375941	58424	2.173164	-	9.18	N1
chrX	135889181	135889182	260324	1.279965	-	9.18	N1
chr3	185354286	185354287	173992	2.346671	+	9.18	N1
chr11	132941234	132941235	46251	3.193281	-	9.18	N1
chr17	16873399	16873400	93695	1.997302	-	9.21	N1
chr2	76198053	76198054	129934	3.856621	+	9.21	N1
chr1	190084723	190084724	17607	0.9967877	-	9.21	N1
chr12	99620061	99620062	53786	1.507598	-	9.24	N1
chrX	81195906	81195907	257572	1.467268	-	9.24	N1
chr3	131794954	131794955	170645	1.126879	+	9.27	N1
chr8	46039195	46039196	233390	1.723857	-	9.27	N1
chr17	10616700	10616701	93189	6.172638	+	9.3	N1
chr3	77320743	77320744	167410	0.922216	-	9.33	N1
chr22	49305348	49305349	160022	2.006119	-	9.36	N1
chr8	52503391	52503392	233863	1.882322	-	9.36	N1
chr5	45797145	45797146	189904	1.63337	-	9.39	N1
chr15	52735675	52735676	75327	6.900877	-	9.39	N1
chr3	56447293	56447294	166009	2.108717	-	9.39	N1
chr10	52741035	52741036	26348	3.370528	+	9.42	N1
chr13	35826824	35826825	59243	2.292348	-	9.42	N1
chr17	21513168	21513169	94500	2.317935	-	9.46	N1
chrX	105190434	105190435	258594	4.702105	-	9.46	N1
chr18	48664442	48664443	108788	2.245493	-	9.46	N1
chr15	68383622	68383623	76677	1.728317	-	9.49	N1
chr14	21978374	21978375	63969	4.704469	+	9.49	N1
chr2	124804206	124804207	133569	3.194558	+	9.49	N1
chr18	37778705	37778706	108136	2.652152	+	9.52	N1
chr18	76349264	76349265	110483	2.367825	-	9.52	N1
chr17	28426391	28426392	94806	2.043861	-	9.55	N1
chr3	25577294	25577295	162959	2.641585	+	9.58	N1
chrX	41253874	41253875	255115	2.419585	-	9.58	N1
chr13	78121678	78121679	61342	2.551586	-	9.58	N1
chrX	135713358	135713359	260271	1.765628	+	9.58	N1
chr18	42298938	42298939	108299	2.500635	+	9.61	N1
chr11	122796327	122796328	45271	2.204083	+	9.64	N1
chr1	32248214	32248215	5811	-0.2841973	+	9.64	N1
chr8	37153397	37153398	232738	4.103562	-	9.64	N1
chr3	125972571	125972572	169744	2.415911	+	9.67	N1
chr11	30143298	30143299	37033	3.554817	-	9.67	N1
chr3	75580371	75580372	167325	2.152473	-	9.67	N1
chr3	354548	354549	160937	2.223517	-	9.7	N1
chr18	51278231	51278232	109101	1.689969	+	9.7	N1
chrX	18391144	18391145	253873	2.478213	+	9.7	N1
chr8	71652040	71652041	235112	2.165141	+	9.7	N1
chrX	103711651	103711652	258501	4.635295	+	9.73	N1
chrX	140766214	140766215	260600	1.300196	+	9.73	N1
chr20	19628740	19628741	143968	2.57423	+	9.73	N1
chr3	190878174	190878175	174397	3.342867	-	9.76	N1
chr5	149775993	149775994	196976	1.156717	-	9.76	N1
chr4	16795038	16795039	177974	1.569129	+	9.76	N1
chr17	13030611	13030612	93367	5.587284	+	9.76	N1
chrX	70030664	70030665	256846	2.645968	-	9.79	N1
chr18	37386033	37386034	108061	2.247966	+	9.79	N1
chr12	6617893	6617894	47794	2.038863	+	9.82	N1
chr2	72326034	72326035	129535	2.378009	-	9.85	N1
chr19	495756	495757	111235	-0.2105328	+	9.85	N1
chr17	63882423	63882424	99137	3.605312	+	9.85	N1
chr18	54392742	54392743	109247	1.301971	+	9.88	N1
chrX	23318302	23318303	254148	3.303508	-	9.88	N1
chr14	21846459	21846460	63953	4.07822	+	9.88	N1
chr13	35978704	35978705	59256	1.79672	+	9.91	N1
chr15	61834279	61834280	75942	4.306709	-	9.91	N1
chr12	128644908	128644909	56885	1.088006	+	9.91	N1
chrX	67555786	67555787	256663	3.540917	+	9.91	N1
chr10	132352799	132352800	33589	1.967477	-	9.94	N1
chr9	83597096	83597097	245338	2.216286	-	9.97	N1
chr2	162221173	162221174	135950	4.783916	+	9.97	N1
chr14	64760361	64760362	66528	1.718949	+	9.97	N1
chr1	15062672	15062673	2933	1.716599	+	9.97	N1
chr6	120056288	120056289	208864	2.458971	-	9.97	N1
chr10	116521612	116521613	31593	1.288195	-	9.97	N1
chr14	100851321	100851322	69927	3.828079	+	10	N1
chr18	43272025	43272026	108327	2.182484	-	10.03	N1
chr17	5031572	5031573	92411	2.004686	+	10.06	N1
chr14	69818881	69818882	67019	6.001439	+	10.06	N1
chr10	122567260	122567261	32227	1.647131	+	10.06	N1
chr2	205716333	205716334	138494	2.365926	+	10.06	N1
chr20	33005272	33005273	146377	2.509786	-	10.09	N1
chr22	26836122	26836123	156396	2.888513	+	10.09	N1
chrX	152904731	152904732	261275	2.806884	+	10.12	N1
chrX	52345605	52345606	255882	3.574095	+	10.12	N1
chr17	32067065	32067066	95262	0.8318348	+	10.12	N1
chr8	9958020	9958021	230547	2.341624	+	10.12	N1
chr3	114291028	114291029	168870	6.415149	+	10.12	N1
chr12	3203163	3203164	47368	2.342277	-	10.12	N1
chr15	38690928	38690929	74100	2.364489	-	10.15	N1
chr2	152926053	152926054	135445	2.719076	+	10.18	N1
chr19	6964141	6964142	113144	2.053138	-	10.21	N1
chr13	31431864	31431865	59001	1.734005	+	10.21	N1
chrX	17788616	17788617	253825	4.868938	+	10.21	N1
chrX	132463616	132463617	260066	1.249871	-	10.24	N1
chr13	23921562	23921563	58295	2.322148	+	10.24	N1
chrX	27186876	27186877	254375	5.593707	-	10.27	N1
chr3	126522462	126522463	169882	5.291281	+	10.27	N1
chrX	46686233	46686234	255411	2.791064	-	10.27	N1
chr4	6334060	6334061	176708	4.115959	-	10.27	N1
chr3	128068269	128068270	170184	3.033886	+	10.27	N1
chrX	134484240	134484241	260173	2.818397	+	10.27	N1
chr7	25160193	25160194	218645	1.417942	-	10.3	N1
chr14	53296170	53296171	65755	2.353232	+	10.33	N1
chr19	50487088	50487089	120807	0.8368067	+	10.33	N1
chr11	37003701	37003702	37555	2.585771	+	10.36	N1
chr12	118979952	118979953	55656	2.005803	+	10.39	N1
chr13	27375914	27375915	58587	2.208205	+	10.39	N1
chr9	109888035	109888036	247704	5.247002	-	10.42	N1
chr17	13031988	13031989	93368	2.950577	-	10.45	N1
chr3	123979963	123979964	169545	2.112205	-	10.45	N1
chr14	37874837	37874838	65071	4.780222	-	10.45	N1
chr7	64183297	64183298	221641	3.927093	+	10.48	N1
chr5	168748484	168748485	198241	1.887811	+	10.48	N1
chr20	19785070	19785071	143980	1.191253	+	10.48	N1
chr14	94549595	94549596	69062	6.478093	-	10.54	N1
chr12	106282577	106282578	54274	1.576446	-	10.57	N1
chr9	34985498	34985499	243306	2.573882	-	10.57	N1
chr15	71115379	71115380	77014	2.196093	+	10.57	N1
chr14	23469278	23469279	64197	1.341181	-	10.6	N1
chr3	167684582	167684583	172947	2.032759	-	10.6	N1
chr11	45267167	45267168	38035	2.506796	+	10.63	N1
chr12	10153400	10153401	48175	1.969183	+	10.63	N1
chr2	234289102	234289103	140803	2.252344	+	10.63	N1
chr5	138633317	138633318	195937	0.9425609	-	10.66	N1
chr3	161424112	161424113	172724	0.8299887	-	10.66	N1
chr1	113949326	113949327	11945	0.1034571	-	10.66	N1
chr2	187174779	187174780	137447	1.621023	+	10.69	N1
chr19	57099367	57099368	121728	2.21202	-	10.69	N1
chrX	70197422	70197423	256862	2.210235	+	10.69	N1
chr3	127652349	127652350	170106	1.78966	+	10.69	N1
chrX	154308517	154308518	261626	2.98101	-	10.72	N1
chr12	4849190	4849191	47561	1.053093	+	10.75	N1
chr15	98311774	98311775	79989	2.998579	+	10.75	N1
chr18	76983477	76983478	110563	3.376399	-	10.75	N1
chr2	152861539	152861540	135441	2.171946	+	10.75	N1
chr11	135075887	135075888	46513	0.4388433	+	10.75	N1
chr17	33686382	33686383	95439	3.274952	-	10.78	N1
chr8	64429099	64429100	234671	1.225109	+	10.78	N1
chr10	98045967	98045968	29945	2.209207	-	10.78	N1
chr20	9610075	9610076	143238	0.8838926	-	10.78	N1
chr13	57627787	57627788	60605	3.392353	+	10.78	N1
chr1	101506744	101506745	11074	1.798408	+	10.81	N1
chr5	23978204	23978205	188784	0.8308777	+	10.81	N1
chr3	157618323	157618324	172491	2.339452	+	10.81	N1
chr3	111717721	111717722	168696	2.028075	+	10.81	N1
chr20	10696800	10696801	143320	1.889537	+	10.84	N1
chr15	33700886	33700887	73814	2.667713	-	10.84	N1
chr14	99320231	99320232	69584	4.888971	+	10.84	N1
chr5	137320624	137320625	195806	2.742316	+	10.84	N1
chr8	126604033	126604034	238209	0.4299486	+	10.84	N1
chr1	175317418	175317419	16654	4.079126	+	10.84	N1
chr14	94486440	94486441	69050	3.419036	-	10.84	N1
chr20	61263283	61263284	149794	2.770797	-	10.87	N1
chr13	53151987	53151988	60474	2.043208	-	10.87	N1
chr12	124469383	124469384	56445	2.749606	-	10.87	N1
chr5	129664543	129664544	195067	0.6846899	+	10.91	N1
chr11	120802434	120802435	45117	7.141312	-	10.91	N1
chr3	94249706	94249707	167898	1.96749	+	10.91	N1
chr22	23290659	23290660	155815	2.915277	-	10.91	N1
chr18	4106611	4106612	103865	4.655516	+	10.91	N1
chr9	42743667	42743668	244002	3.726489	+	10.94	N1
chr10	102231948	102231949	30441	1.024497	+	10.94	N1
chrX	1673445	1673446	252780	4.723657	+	10.94	N1
chr19	42684118	42684119	119333	2.937566	+	10.94	N1
chr14	76050990	76050991	67632	1.962495	+	10.94	N1
chr3	50971632	50971633	165379	3.42038	+	10.97	N1
chr3	81490666	81490667	167553	1.942388	+	10.97	N1
chr5	167723460	167723461	198132	3.600921	+	11	N1
chr22	37623742	37623743	157812	3.148357	+	11.03	N1
chr9	4759511	4759512	241760	4.006069	+	11.06	N1
chr19	43084410	43084411	119397	2.16652	-	11.06	N1
chr11	123555091	123555092	45350	2.201931	-	11.06	N1
chr4	30380601	30380602	178683	1.43985	+	11.06	N1
chr19	3692688	3692689	112381	1.104919	+	11.06	N1
chrX	102900796	102900797	258447	3.090276	-	11.09	N1
chr20	59598829	59598830	149602	2.44872	+	11.09	N1
chr6	137572047	137572048	209866	3.55898	-	11.09	N1
chr20	21809236	21809237	144175	3.715929	+	11.09	N1
chr9	36873468	36873469	243524	2.584639	+	11.09	N1
chr22	41533408	41533409	158520	2.311163	-	11.09	N1
chr12	3300678	3300679	47395	4.03302	+	11.12	N1
chr20	31260520	31260521	146119	2.10617	-	11.12	N1
chr8	133886280	133886281	238810	2.773976	-	11.12	N1
chr19	42857470	42857471	119357	1.524778	-	11.15	N1
chr3	85567269	85567270	167673	1.462604	-	11.15	N1
chr16	50671845	50671846	86471	3.943625	+	11.15	N1
chr2	25129394	25129395	125816	0.9712259	-	11.15	N1
chrX	8743325	8743326	253178	2.57294	+	11.15	N1
chrX	101415682	101415683	258336	1.243085	+	11.15	N1
chr10	66180919	66180920	26991	1.901214	-	11.15	N1
chr10	97037532	97037533	29773	2.334437	+	11.15	N1
chr8	10425347	10425348	230585	1.268158	-	11.15	N1
chr16	49350682	49350683	86241	1.707844	-	11.18	N1
chr18	34661683	34661684	107813	2.58258	+	11.18	N1
chr3	192467443	192467444	174466	1.592752	+	11.18	N1
chr10	93080451	93080452	29438	1.518173	+	11.18	N1
chr7	141752863	141752864	227159	1.072565	-	11.18	N1
chrX	3035924	3035925	252878	3.279164	+	11.21	N1
chr3	133423756	133423757	170756	4.171775	-	11.21	N1
chr22	44697589	44697590	159130	2.071051	+	11.21	N1
chr12	124399828	124399829	56415	2.306312	-	11.24	N1
chr1	48697288	48697289	7857	3.888383	-	11.24	N1
chr4	40927823	40927824	179169	1.543005	+	11.24	N1
chr14	23632122	23632123	64231	6.156594	+	11.27	N1
chr9	71285329	71285330	244643	2.796344	+	11.27	N1
chr12	4356123	4356124	47515	2.671032	+	11.27	N1
chr19	50252504	50252505	120746	2.055527	+	11.27	N1
chr3	39707510	39707511	163920	1.105029	+	11.27	N1
chrX	102951123	102951124	258449	1.830944	+	11.3	N1
chr3	111967864	111967865	168708	1.718549	-	11.33	N1
chr2	1769925	1769926	123659	1.910547	-	11.33	N1
chr4	114807994	114807995	182733	3.622856	-	11.36	N1
chr3	63818731	63818732	166542	1.909051	-	11.36	N1
chr1	25619252	25619253	4757	1.637288	+	11.36	N1
chr3	58630305	58630306	166212	4.515141	-	11.36	N1
chr15	51192857	51192858	75197	4.654026	-	11.36	N1
chr5	133553112	133553113	195358	2.851021	+	11.39	N1
chr2	80238880	80238881	130084	2.909047	-	11.42	N1
chrX	9313384	9313385	253214	5.153968	-	11.42	N1
chr10	99560717	99560718	30075	6.27465	+	11.45	N1
chr9	74771100	74771101	244838	3.361859	-	11.45	N1
chr20	54647019	54647020	148997	1.535079	-	11.45	N1
chr17	44566051	44566052	97091	1.2722	+	11.45	N1
chr9	15606844	15606845	242276	2.278608	-	11.45	N1
chrX	151151853	151151854	261144	3.427155	+	11.51	N1
chr17	8832824	8832825	92980	1.443387	-	11.51	N1
chrX	4547430	4547431	252985	2.927612	+	11.54	N1
chr19	5535131	5535132	112867	4.37853	-	11.54	N1
chr8	65450512	65450513	234723	1.284613	-	11.57	N1
chrX	78024937	78024938	257413	2.397287	-	11.57	N1
chr2	23624559	23624560	125690	1.868917	+	11.57	N1
chr17	17440174	17440175	93817	2.292656	-	11.6	N1
chr17	7004978	7004979	92629	1.327361	-	11.6	N1
chr5	117454880	117454881	194503	4.814161	+	11.63	N1
chr8	138686693	138686694	239104	2.08255	-	11.63	N1
chrX	155057533	155057534	261763	3.521123	-	11.66	N1
chr9	19926172	19926173	242532	2.15082	+	11.66	N1
chr10	117168323	117168324	31655	1.594044	-	11.66	N1
chr9	18255254	18255255	242422	6.210846	+	11.66	N1
chr18	35756696	35756697	107899	1.749906	+	11.66	N1
chr10	123559528	123559529	32349	5.244428	-	11.66	N1
chr7	37495788	37495789	219708	1.374682	-	11.69	N1
chr10	29119572	29119573	24618	2.8484	-	11.69	N1
chr19	43207358	43207359	119413	3.361645	-	11.69	N1
chr15	73897575	73897576	77296	7.187283	+	11.72	N1
chrX	111099009	111099010	258941	4.10775	+	11.72	N1
chr8	10977338	10977339	230674	2.666747	-	11.72	N1
chr9	75265663	75265664	244870	2.837903	+	11.72	N1
chrX	114611214	114611215	259076	2.826527	+	11.75	N1
chr3	56494907	56494908	166014	4.064261	-	11.75	N1
chr4	6332232	6332233	176707	2.87593	+	11.75	N1
chr10	103752896	103752897	30686	3.346994	+	11.78	N1
chr6	122839660	122839661	208988	3.471718	-	11.78	N1
chr22	36986410	36986411	157641	3.849408	+	11.81	N1
chr2	75404143	75404144	129877	0.9890456	-	11.81	N1
chr11	60334226	60334227	38895	2.430681	+	11.84	N1
chr22	45864094	45864095	159316	5.092844	+	11.84	N1
chr2	88351140	88351141	130605	3.34167	+	11.84	N1
chr15	61835684	61835685	75943	4.26119	-	11.84	N1
chr5	9922908	9922909	188050	1.49529	-	11.84	N1
chr7	140984003	140984004	227080	0.4357332	+	11.84	N1
chr22	45209364	45209365	159227	1.947383	-	11.87	N1
chr9	114662289	114662290	248185	2.504991	+	11.87	N1
chr1	56968436	56968437	8612	1.034905	-	11.87	N1
chr1	10961185	10961186	2361	5.65642452902747	-	11.9	N1
chr13	111223578	111223579	63058	2.236267	-	11.9	N1
chr3	185308304	185308305	173989	2.411367	-	11.93	N1
chr16	52191730	52191731	86599	6.58935	+	11.93	N1
chr13	99900529	99900530	62351	2.213492	+	11.93	N1
chr18	36809757	36809758	108005	1.485631	-	11.96	N1
chr20	3696386	3696387	142774	0.8762192	-	11.96	N1
chrX	91771003	91771004	257965	2.042433	-	11.96	N1
chr22	25362327	25362328	156209	2.430699	+	11.96	N1
chr3	108662339	108662340	168551	0.5055684	+	11.96	N1
chr10	132837095	132837096	33741	2.576172	+	11.99	N1
chr9	95168113	95168114	246563	2.555007	-	11.99	N1
chr3	176514422	176514423	173384	0.9974322	+	11.99	N1
chr3	75552312	75552313	167321	5.175913	-	11.99	N1
chr3	115814970	115814971	168940	4.106656	-	12.02	N1
chr14	76872977	76872978	67736	3.001505	+	12.02	N1
chr3	116758394	116758395	168982	2.311919	-	12.02	N1
chr17	6473329	6473330	92574	3.483882	+	12.02	N1
chr15	45714695	45714696	74885	1.964837	+	12.05	N1
chr14	105203157	105203158	70916	1.905825	+	12.05	N1
chr22	27886737	27886738	156534	2.030179	+	12.05	N1
chr1	1349420	1349421	341	0.885366934439247	+	12.05	N1
chr10	113108661	113108662	31297	0.9684465	-	12.05	N1
chr18	31722557	31722558	107660	5.302673	-	12.08	N1
