motif_chr	motif_start	motif_end	motif_index	salt_tolerance	strand	xchip_signal	peak_group
chr3	125936364	125936365	169739	-0.1496386	-	5.71	N3
chr4	121944179	121944180	183060	-0.2618274	+	5.74	N3
chr19	40235823	40235824	118793	-0.2398129	-	5.77	N3
chr17	30012089	30012090	95039	-0.1421347	+	5.8	N3
chr22	17119665	17119666	154673	-0.1414648	+	5.83	N3
chr17	57740121	57740122	98538	-0.02809868	-	5.86	N3
chr1	166017600	166017601	16028	0.2087962	-	5.86	N3
chr18	13558249	13558250	104695	-0.09062652	+	5.89	N3
chr16	10668593	10668594	83215	-0.1901519	+	5.92	N3
chr21	44911810	44911811	153944	-0.2235166	-	5.95	N3
chr19	50008710	50008711	120701	-0.2499858	+	6.04	N3
chr6	9413150	9413151	201277	-0.1394656	-	6.07	N3
chr2	234135843	234135844	140791	-0.2296399	+	6.16	N3
chr3	123702257	123702258	169518	-0.2023239	-	6.19	N3
chr9	92884189	92884190	246224	-0.1516377	+	6.22	N3
chr16	33938269	33938270	85844	0.1617428	-	6.22	N3
chr11	48384879	48384880	38422	0.3816658	+	6.28	N3
chr9	86948632	86948633	245573	-0.05498471	+	6.28	N3
chr2	65130408	65130409	128860	-0.2425067	-	6.31	N3
chr10	23703067	23703068	24277	-0.05196036	-	6.37	N3
chr2	9778105	9778106	124440	-0.04296464	+	6.43	N3
chr3	172035290	172035291	173209	-0.05498471	+	6.43	N3
chrX	151360440	151360441	261161	-0.02162	-	6.46	N3
chrX	131069079	131069080	259969	-0.1598115	+	6.46	N3
chr11	31887381	31887382	37105	0.09159407	-	6.46	N3
chr2	153287346	153287347	135460	-0.1341642	-	6.49	N3
chr9	98678449	98678450	246980	-0.07461835	-	6.52	N3
chr1	158506563	158506564	15350	-0.07045911	+	6.52	N3
chr14	54420684	54420685	65828	-0.1066697	-	6.52	N3
chrX	18377997	18377998	253870	-0.02279723	-	6.56	N3
chr14	78164431	78164432	67889	-0.07045911	+	6.59	N3
chr8	132140745	132140746	238613	0.04169474	+	6.59	N3
chr1	53594275	53594276	8246	-0.1311398	-	6.62	N3
chr5	11075136	11075137	188193	-0.1992996	+	6.65	N3
chr4	4385012	4385013	176418	-0.1496386	+	6.68	N3
chr3	133578809	133578810	170776	-0.2204922	-	6.71	N3
chr12	109798049	109798050	54685	0.01771606	-	6.74	N3
chr22	43136450	43136451	158840	-0.00127412	-	6.74	N3
chr9	79130071	79130072	245111	0.07708341	+	6.77	N3
chr12	3777396	3777397	47464	-0.1799789	-	6.8	N3
chr2	85873864	85873865	130408	-0.05199537	-	6.83	N3
chr13	102141814	102141815	62504	-0.1853418	+	6.83	N3
chr1	1015562	1015563	190	-0.162302086342091	+	6.95	N3
chr2	12547978	12547979	124869	-0.1628359	+	7.01	N3
chr14	29016479	29016480	64576	0.005052539	+	7.04	N3
chr9	36568166	36568167	243486	0.05152827	+	7.07	N3
chr9	101549713	101549714	247206	-0.1944896	-	7.07	N3
chr16	27780078	27780079	84841	-0.01810421	+	7.07	N3
chr8	87695392	87695393	235914	-0.1918205	+	7.1	N3
chr7	64888242	64888243	221713	-0.2003248	+	7.1	N3
chr1	237570707	237570708	21737	-0.1336304	-	7.13	N3
chr10	100562351	100562352	30182	-0.2904991	-	7.16	N3
chr2	35428734	35428735	126803	0.3046025	-	7.22	N3
chr6	117189011	117189012	208708	-0.05211237	-	7.28	N3
chr15	76330491	76330492	77750	-0.01144706	-	7.37	N3
chr8	95519416	95519417	236345	-0.1623021	+	7.49	N3
chr15	37891943	37891944	74054	-0.1311398	-	7.52	N3
chr8	23381763	23381764	231770	0.1076022	-	7.55	N3
chr1	25117635	25117636	4674	-0.0324364	+	7.61	N3
chr3	143775560	143775561	171670	-0.2640299	+	7.64	N3
chr6	88983750	88983751	207202	-0.1504605	+	7.67	N3
chrX	48972531	48972532	255631	-0.09565003	+	7.67	N3
chrX	21745974	21745975	254085	0.056916	-	7.73	N3
chr4	3747712	3747713	176301	0.2231284	+	7.76	N3
chr5	141208653	141208654	196267	-0.2306651	+	7.79	N3
chr17	16304954	16304955	93615	-0.1992996	+	7.79	N3
chr2	24061062	24061063	125731	-0.2094725	-	7.82	N3
chr6	169421152	169421153	212385	0.007660125	+	7.85	N3
chr2	185291230	185291231	137365	-0.2009682	+	7.85	N3
chr1	191127028	191127029	17640	-0.2094725	-	7.88	N3
chr17	57552436	57552437	98503	-0.2803262	-	7.88	N3
chr21	42360583	42360584	153322	0.06488651	+	7.91	N3
chr7	28956200	28956201	218955	-0.02994581	-	7.91	N3
chrX	151714030	151714031	261186	0.03739204	+	7.94	N3
chr8	24249004	24249005	231855	0.1550856	-	7.94	N3
chr22	45096454	45096455	159212	0.3268203	-	7.94	N3
chr8	25577358	25577359	231921	-0.2151908	+	7.94	N3
chr3	142844559	142844560	171584	-0.2039926	+	7.94	N3
chrX	104271105	104271106	258541	-0.105001	-	7.97	N3
chr2	227546084	227546085	140049	-0.113463	-	7.97	N3
chr2	225123070	225123071	139929	-0.1054925	+	8.01	N3
chr17	44219185	44219186	97027	-0.03762085	-	8.07	N3
chr10	6173349	6173350	23096	-0.05926096	+	8.07	N3
chr22	41951077	41951078	158587	-0.1706279	+	8.1	N3
chr7	20648364	20648365	218303	-0.1016214	-	8.1	N3
chr2	237027622	237027623	141146	-0.04926649	-	8.1	N3
chr14	51652078	51652079	65651	-0.1808008	-	8.13	N3
chr10	14991501	14991502	23757	-0.2213141	+	8.13	N3
chr11	34149976	34149977	37307	-0.1486134	+	8.13	N3
chr18	52288593	52288594	109156	-0.05093515	-	8.16	N3
chr12	132051949	132051950	57348	-0.09798859	-	8.16	N3
chr15	22223297	22223298	72654	-0.1534848	+	8.16	N3
chr3	52278892	52278893	165570	-0.164835	-	8.19	N3
chr17	4787472	4787473	92357	-0.1217888	+	8.22	N3
chr4	177505233	177505234	185812	-0.1294712	+	8.22	N3
chr22	31561385	31561386	157028	-0.3004936	+	8.25	N3
chr9	134449740	134449741	251046	0.1798862	+	8.28	N3
chr10	125145255	125145256	32632	0.01404825	-	8.28	N3
chr3	81582203	81582204	167555	-0.1138183	+	8.31	N3
chrX	140918585	140918586	260609	-0.2229828	+	8.34	N3
chr8	31497507	31497508	232452	-0.1830033	-	8.4	N3
chr10	99246924	99246925	30030	-0.0694339	-	8.43	N3
chr1	201021165	201021166	18116	-0.0931171	-	8.43	N3
chr1	182030089	182030090	17177	-0.1526629	-	8.43	N3
chr6	44001475	44001476	204892	-0.1386189	-	8.46	N3
chr19	11552118	11552119	113983	-0.08895786	-	8.46	N3
chr1	61043122	61043123	8899	-0.206195	-	8.49	N3
chr9	86035073	86035074	245501	-0.05196036	+	8.49	N3
chr10	69801267	69801268	27240	0.06455602	-	8.52	N3
chr19	1221664	1221665	111534	0.07975247	+	8.52	N3
chr13	24220306	24220307	58323	-0.1578474	-	8.55	N3
chr13	31424321	31424322	59000	-0.0812755	-	8.55	N3
chr16	71645646	71645647	88492	-0.1402875	-	8.58	N3
chrX	108001638	108001639	258762	0.02824431	-	8.58	N3
chr10	27742290	27742291	24542	-0.1799789	+	8.58	N3
chr22	24635235	24635236	156105	-0.2094725	-	8.58	N3
chr11	22130879	22130880	36694	-0.243684	-	8.58	N3
chr12	65685728	65685729	52083	-0.06547061	-	8.61	N3
chr10	119602683	119602684	31945	0.07423752	-	8.61	N3
chr1	98794468	98794469	10946	-0.1918205	+	8.64	N3
chr2	205903915	205903916	138516	-0.03909355	+	8.64	N3
chr9	89598300	89598301	245854	0.02604187	+	8.67	N3
chr7	150975081	150975082	227955	-0.1091253	+	8.67	N3
chr2	225283057	225283058	139939	-0.004789911	+	8.67	N3
chr10	113454689	113454690	31330	-0.1830033	-	8.76	N3
chr4	10013935	10013936	177515	0.2804718	-	8.79	N3
chr5	136364494	136364495	195741	-0.07128103	+	8.79	N3
chr13	30674239	30674240	58912	-0.3004936	+	8.82	N3
chr3	134378568	134378569	170874	-0.1294712	-	8.88	N3
chr6	39190132	39190133	204200	0.1542389	+	8.88	N3
chr5	133754744	133754745	195380	-0.1019767	+	8.88	N3
chr7	82740440	82740441	223085	-0.1433119	+	8.88	N3
chr17	70622590	70622591	99768	-0.2009682	-	8.91	N3
chr3	149512482	149512483	171939	-0.1526629	+	8.94	N3
chr18	47050576	47050577	108605	-0.1978692	+	8.94	N3
chr13	77752049	77752050	61329	-0.05665337	+	8.97	N3
chr7	34091514	34091515	219425	0.3721013	+	8.97	N3
chrX	70452235	70452236	256890	0.5423732	+	8.97	N3
chr6	1424500	1424501	200541	-0.192151	-	9	N3
chr17	50630763	50630764	98059	0.1677052	+	9.03	N3
chr11	3195407	3195408	35119	-0.1486134	-	9.06	N3
chr18	21444642	21444643	107071	-0.2235166	-	9.09	N3
chr14	37903780	37903781	65075	-0.2019935	+	9.09	N3
chr15	65086501	65086502	76279	-0.1201201	-	9.09	N3
chr10	123583835	123583836	32355	0.1190271	+	9.12	N3
chr9	83620955	83620956	245341	-0.2296399	+	9.12	N3
chr1	165075956	165075957	15942	-0.07045911	-	9.12	N3
chr12	113031132	113031133	55068	-0.06901452	-	9.12	N3
chr17	34519480	34519481	95516	0.07124818	-	9.15	N3
chr7	51355122	51355123	220993	-0.07212777	+	9.18	N3
chr2	174138363	174138364	136730	-0.2296399	+	9.18	N3
chr21	33901943	33901944	152410	-0.2133436	+	9.18	N3
chr2	157751977	157751978	135648	0.319138	-	9.18	N3
chr14	22900399	22900400	64086	-0.2028154	-	9.21	N3
chr7	72184026	72184027	222236	-0.03337272	+	9.21	N3
chr1	182599556	182599557	17236	0.3052972	+	9.21	N3
chr15	57527689	57527690	75601	-0.05899194	-	9.24	N3
chr15	58213122	58213123	75665	-0.1074916	+	9.24	N3
chr8	6919477	6919478	230201	-0.06228532	-	9.27	N3
chr3	139937873	139937874	171333	0.04008591	+	9.27	N3
chr3	115693090	115693091	168935	0.002850105	-	9.3	N3
chr2	246675	246676	123465	-0.016962	+	9.33	N3
chr16	84308316	84308317	89600	0.06043179	-	9.36	N3
chr7	88835315	88835316	223342	-0.05498471	-	9.36	N3
chr15	33292899	33292900	73789	-0.2019935	+	9.39	N3
chrX	16123395	16123396	253697	-0.004181476	+	9.39	N3
chr3	4571905	4571906	161123	-0.2243385	-	9.39	N3
chr9	93302865	93302866	246320	-0.04432034	-	9.42	N3
chr9	78602139	78602140	245087	-0.07128103	+	9.42	N3
chrX	118807589	118807590	259299	0.05858466	-	9.46	N3
chr3	176430458	176430459	173381	-0.1514857	-	9.46	N3
chr9	83583345	83583346	245337	-0.1283289	+	9.46	N3
chr15	55799935	55799936	75503	0.02040993	-	9.49	N3
chr16	48055204	48055205	86123	-0.07515212	-	9.49	N3
chr3	11059714	11059715	161722	0.1344268	-	9.49	N3
chr1	221857252	221857253	20113	-0.1263298	-	9.52	N3
chr14	64823400	64823401	66548	-0.2094725	+	9.52	N3
chr4	27684699	27684700	178598	0.02873574	+	9.55	N3
chr19	49862984	49862985	120666	-0.05278228	+	9.58	N3
chr10	59676012	59676013	26625	-0.1543316	-	9.58	N3
chr4	6680835	6680836	176790	0.07321232	-	9.58	N3
chr17	75827712	75827713	100511	0.01170969	-	9.58	N3
chr20	59751277	59751278	149626	0.4726869	-	9.61	N3
chr2	28957087	28957088	126320	0.01068448	+	9.64	N3
chr22	50775282	50775283	160440	-0.01810421	+	9.64	N3
chr2	78999617	78999618	130012	0.1010621	-	9.64	N3
chr9	14616569	14616570	242206	-0.1270156	+	9.67	N3
chr4	89641277	89641278	181588	-0.1438033	+	9.67	N3
chr8	15238392	15238393	231022	-0.1480049	+	9.67	N3
chr2	74199265	74199266	129728	-0.2618274	-	9.7	N3
chr3	73502876	73502877	167203	-0.05926096	-	9.7	N3
chr2	230762519	230762520	140244	-0.1429814	-	9.7	N3
chr17	9554964	9554965	93077	-0.192151	-	9.7	N3
chr15	88244081	88244082	79077	1.133469	+	9.73	N3
chrX	130120875	130120876	259916	-0.06861198	-	9.73	N3
chr3	66938550	66938551	166788	-0.03909355	+	9.73	N3
chr22	31273023	31273024	156993	0.3859213	-	9.76	N3
chr7	6637878	6637879	217635	-0.05211237	-	9.76	N3
chr5	45038578	45038579	189877	-0.06110809	+	9.76	N3
chr5	152560715	152560716	197320	0.1605656	+	9.76	N3
chr21	42688929	42688930	153392	0.1722181	-	9.79	N3
chr1	16591942	16591943	3201	-0.2204922	+	9.79	N3
chr7	108452921	108452922	225020	-0.1751689	+	9.82	N3
chr11	8219463	8219464	35493	0.1208742	+	9.85	N3
chr9	120531889	120531890	248509	-0.08063205	-	9.85	N3
chr1	21218053	21218054	4023	0.009745556	+	9.85	N3
chrX	15146710	15146711	253637	0.1550856	-	9.88	N3
chr1	33138005	33138006	5965	-0.08483363	+	9.88	N3
chr8	143332030	143332031	240138	-0.008753196	-	9.88	N3
chr15	85505267	85505268	78898	-0.2204922	-	9.91	N3
chr2	236177844	236177845	141039	-0.2711784	-	9.91	N3
chr2	126245128	126245129	133622	-0.07163633	+	9.91	N3
chr3	38151368	38151369	163730	-0.08078407	+	9.91	N3
chr5	141121733	141121734	196255	0.1053998	+	9.94	N3
chr12	110245687	110245688	54740	-0.2235166	-	9.97	N3
chr16	81730426	81730427	89329	0.03387625	-	9.97	N3
chr22	22871199	22871200	155727	-0.08977978	+	9.97	N3
chr20	38305059	38305060	147091	0.483885	+	9.97	N3
chr4	42568812	42568813	179284	0.02203465	+	9.97	N3
chr1	66504043	66504044	9252	-0.003121252	-	9.97	N3
chr11	103202249	103202250	43491	-0.2003248	+	10	N3
chr7	99733690	99733691	224022	0.1238986	+	10.03	N3
chr1	18303009	18303010	3545	0.2860082	-	10.06	N3
chr5	123937375	123937376	194788	-0.03546075	+	10.06	N3
chr9	109183726	109183727	247619	-0.005639952	+	10.06	N3
chr1	101520426	101520427	11075	0.01771606	+	10.06	N3
chr10	103417041	103417042	30597	-0.172475	+	10.09	N3
chr4	159455807	159455808	185016	-0.2103193	-	10.09	N3
chr3	132029475	132029476	170655	0.06758037	-	10.12	N3
chr1	160821826	160821827	15579	-0.164835	+	10.12	N3
chr2	63023654	63023655	128679	-0.2058397	+	10.12	N3
chr5	170623748	170623749	198432	0.3232764	-	10.12	N3
chr2	160429439	160429440	135857	-0.1662204	+	10.12	N3
chr10	63819951	63819952	26902	-0.05093515	-	10.12	N3
chr22	37044218	37044219	157652	0.03890868	-	10.15	N3
chr6	34583560	34583561	203671	-0.09062652	-	10.18	N3
chr12	1517320	1517321	47089	-0.1394656	+	10.21	N3
chr16	74766913	74766914	88748	-0.1007995	+	10.21	N3
chrX	39261613	39261614	254878	-0.1085168	+	10.21	N3
chr5	175904783	175904784	199057	0.1247453	-	10.24	N3
chr15	74621235	74621236	77462	-0.06547061	+	10.24	N3
chr22	50526476	50526477	160376	-0.09247365	-	10.27	N3
chr4	92091528	92091529	181675	-0.1799789	-	10.27	N3
chr2	223675191	223675192	139839	-0.2003248	+	10.27	N3
chr16	24906385	24906386	84592	-0.2129883	+	10.27	N3
chr3	128608528	128608529	170306	0.4314438	-	10.27	N3
chr19	3339866	3339867	112254	-0.2428372	+	10.27	N3
chr8	58641489	58641490	234335	-0.2428372	-	10.3	N3
chr7	101669517	101669518	224437	0.2374679	+	10.33	N3
chr10	71916134	71916135	27672	-0.1244827	+	10.33	N3
chr1	37561970	37561971	6495	-0.01226899	+	10.36	N3
chr22	40399402	40399403	158370	0.003088404	+	10.39	N3
chr19	35555817	35555818	118163	0.003088404	+	10.39	N3
chr17	79991791	79991792	101497	-0.2508326	-	10.42	N3
chr8	130682038	130682039	238528	-0.03182796	-	10.45	N3
chr4	35934583	35934584	178840	-0.2223393	-	10.45	N3
chr2	12048750	12048751	124839	-0.2499858	-	10.45	N3
chr10	104121817	104121818	30732	-0.1433119	-	10.48	N3
chr14	59028763	59028764	66135	0.04756498	+	10.48	N3
chr19	15161782	15161783	114559	-0.07348346	+	10.48	N3
chr9	105901658	105901659	247402	0.03009144	+	10.54	N3
chr3	156674290	156674291	172412	-0.293345	+	10.57	N3
chr6	95203351	95203352	207494	-0.1448285	+	10.57	N3
chr1	144439924	144439925	13715	-0.04730235	+	10.57	N3
chr1	176691827	176691828	16741	0.1497842	-	10.6	N3
chr15	77875296	77875297	77927	0.7596903	-	10.6	N3
chr5	129771529	129771530	195073	0.03890868	+	10.63	N3
chr15	28227539	28227540	73148	-0.1438033	-	10.63	N3
chr12	111331360	111331361	54897	-0.1824695	+	10.63	N3
chr9	89001160	89001161	245779	-0.02994581	-	10.66	N3
chr2	225665543	225665544	139954	-0.02279723	+	10.66	N3
chr2	218074119	218074120	139286	0.147713	-	10.66	N3
chr10	87343210	87343211	29089	0.06957952	-	10.69	N3
chr14	20415943	20415944	63804	-0.1383234	+	10.69	N3
chr10	89793846	89793847	29219	-0.1270156	+	10.69	N3
chr5	115574747	115574748	194411	-0.1496386	-	10.69	N3
chr8	30382435	30382436	232385	0.11675	-	10.72	N3
chr1	13356971	13356972	2747	0.360187637804891	+	10.75	N3
chr12	7588925	7588926	47938	-0.06016916	+	10.75	N3
chr11	73360654	73360655	41580	0.2129205	-	10.75	N3
chr14	70907338	70907339	67117	0.1026137	+	10.75	N3
chr1	21468800	21468801	4072	-0.09062652	-	10.75	N3
chr10	42428732	42428733	25321	-0.1038238	-	10.78	N3
chr9	37511192	37511193	243600	-0.1719836	-	10.78	N3
chr2	215950155	215950156	139025	-0.118156	+	10.78	N3
chr3	119892125	119892126	169181	-0.133139	+	10.78	N3
chr9	110427698	110427699	247749	-0.14249	+	10.78	N3
chr7	36251611	36251612	219595	-0.1681723	-	10.81	N3
chr5	151719453	151719454	197275	0.04322727	-	10.81	N3
chrX	80578711	80578712	257536	-0.09496423	-	10.81	N3
chr14	22865673	22865674	64074	-0.10113	-	10.81	N3
chr3	184129238	184129239	173785	-0.0826312	+	10.84	N3
chr4	154982653	154982654	184794	0.2129555	+	10.84	N3
chr3	172836594	172836595	173268	-0.1733218	+	10.84	N3
chr18	56703100	56703101	109373	0.05471357	+	10.84	N3
chrX	106874286	106874287	258670	-0.1125241	+	10.84	N3
chr1	228236986	228236987	20818	0.3659779	+	10.84	N3
chr22	39514546	39514547	158250	-0.06380196	-	10.84	N3
chr19	4167675	4167676	112494	-0.03463883	+	10.87	N3
chr20	56249519	56249520	149079	0.06640315	-	10.87	N3
chr9	35756724	35756725	243399	0.1599571	+	10.87	N3
chr17	4987548	4987549	92405	-0.2499858	-	10.91	N3
chr17	58329571	58329572	98648	-0.06061666	-	10.91	N3
chr3	98602258	98602259	168066	-0.1258384	+	10.91	N3
chr5	150523941	150523942	197109	-0.1909738	-	10.91	N3
chr11	97141093	97141094	43215	0.02252608	-	10.91	N3
chr16	71440836	71440837	88458	-0.1598115	-	10.94	N3
chr16	63290042	63290043	87513	0.3612849	-	10.94	N3
chr8	144351621	144351622	240547	-0.1656817	-	10.94	N3
chr2	40760256	40760257	127165	-0.1766766	-	10.94	N3
chrX	47831987	47831988	255517	0.06488651	+	10.94	N3
chr16	87571550	87571551	90323	0.3593208	-	10.97	N3
chr2	8882282	8882283	124347	-0.1516377	+	10.97	N3
chr8	70113804	70113805	235021	-0.03194496	+	11	N3
chrX	118847809	118847810	259304	-0.2019935	+	11.03	N3
chr22	24175364	24175365	156006	0.3499697	-	11.06	N3
chr2	130156248	130156249	134119	-0.09198222	+	11.06	N3
chr22	41746750	41746751	158552	-0.1598115	+	11.06	N3
chr3	139319977	139319978	171268	-0.05926096	+	11.06	N3
chr2	130356172	130356173	134157	-0.2528317	+	11.06	N3
chr14	89027457	89027458	68376	0.2633562	+	11.09	N3
chr16	82062076	82062077	89379	-0.08650229	-	11.09	N3
chr3	192566872	192566873	174470	-0.1830033	+	11.09	N3
chr18	2985817	2985818	103770	-0.1909738	-	11.09	N3
chr1	207993679	207993680	19123	0.1845072	+	11.09	N3
chr5	178839551	178839552	199601	-0.08380843	-	11.09	N3
chr17	44084396	44084397	96978	-0.1402875	-	11.12	N3
chr5	165209314	165209315	198050	-0.1885182	-	11.12	N3
chr11	124837671	124837672	45442	0.2094846	+	11.12	N3
chr2	199704796	199704797	138088	0.03009144	+	11.15	N3
chr11	71792836	71792837	41315	-0.06110809	+	11.15	N3
chr4	121307984	121307985	183017	0.2696131	-	11.15	N3
chr7	103065861	103065862	224630	-0.1846719	-	11.15	N3
chr12	2583204	2583205	47242	0.1917278	-	11.15	N3
chr14	103910518	103910519	70456	0.1564413	-	11.15	N3
chr22	31977360	31977361	157087	0.2057719	+	11.15	N3
chr5	63401636	63401637	191730	-0.1111244	+	11.15	N3
chr11	47179695	47179696	38297	0.2907617	+	11.15	N3
chr5	173284010	173284011	198787	0.06924903	-	11.18	N3
chr8	23859480	23859481	231829	0.2308108	+	11.18	N3
chr8	85463341	85463342	235790	0.2931601	+	11.18	N3
chr22	46367806	46367807	159447	0.1317769	+	11.18	N3
chr15	99100745	99100746	80074	0.1307517	+	11.18	N3
chr1	33218865	33218866	5977	0.01023699	+	11.21	N3
chrX	49884444	49884445	255737	0.3649527	+	11.21	N3
chr1	8351852	8351853	1926	0.490856125622282	-	11.21	N3
chr3	51719293	51719294	165456	-0.01810421	+	11.24	N3
chr5	79703116	79703117	192793	-0.1044673	+	11.24	N3
chr5	119744170	119744171	194601	-0.0324364	-	11.24	N3
chr1	36342882	36342883	6302	-0.09365088	+	11.27	N3
chr3	24496763	24496764	162905	0.0805992	-	11.27	N3
chr8	59921735	59921736	234395	-0.08977978	-	11.27	N3
chr11	72609232	72609233	41438	-0.03428353	-	11.27	N3
chr16	87889954	87889955	90427	0.05989802	-	11.27	N3
chr5	79256143	79256144	192777	-0.1486134	+	11.3	N3
chr12	46984166	46984167	50124	-0.01226899	-	11.33	N3
chr15	83565767	83565768	78647	-0.05313758	+	11.33	N3
chr15	40030436	40030437	74203	-0.09262567	+	11.36	N3
chr12	130026776	130026777	57015	0.2963015	+	11.36	N3
chr2	199596751	199596752	138077	-0.181826	-	11.36	N3
chr16	1338328	1338329	81815	-0.07212777	+	11.36	N3
chr17	68777584	68777585	99676	-0.002781839	+	11.36	N3
chr12	189270	189271	46992	0.08338526	-	11.39	N3
chr1	156141483	156141484	15022	-0.2813514	+	11.42	N3
chr1	53715661	53715662	8275	0.027889	+	11.42	N3
chr6	160930863	160930864	211517	0.2766255	+	11.45	N3
chr10	118424039	118424040	31784	-0.01863066	-	11.45	N3
chr19	42791385	42791386	119348	-0.1217888	-	11.45	N3
chr16	68367200	68367201	88078	0.3298023	-	11.45	N3
chr15	76973509	76973510	77790	0.2756003	+	11.45	N3
chr1	27725761	27725762	5148	-0.207017	+	11.51	N3
chr4	54433882	54433883	179805	-0.07163633	-	11.51	N3
chr7	86815198	86815199	223238	-0.2009682	-	11.54	N3
chr4	82268770	82268771	181135	-0.1901519	-	11.54	N3
chr3	133901322	133901323	170808	-0.2904991	-	11.57	N3
chr10	91635585	91635586	29332	-0.1388572	-	11.57	N3
chr22	50327107	50327108	160313	-0.008305701	-	11.57	N3
chr17	75620168	75620169	100446	0.1294383	+	11.6	N3
chr4	139633964	139633965	183843	-0.2336895	-	11.6	N3
chr10	118850663	118850664	31828	0.06957952	-	11.63	N3
chr12	109134349	109134350	54571	0.1655891	+	11.63	N3
chr9	69054385	69054386	244496	0.1664358	+	11.66	N3
chr4	73666139	73666140	180633	-0.07866791	-	11.66	N3
chr8	30188645	30188646	232368	-0.02411059	+	11.66	N3
chr2	179842660	179842661	137129	-0.2123184	+	11.66	N3
chr4	114659588	114659589	182726	-0.2398129	-	11.66	N3
chr17	7835014	7835015	92810	-0.1992996	+	11.66	N3
chr15	73560696	73560697	77237	-0.2296399	+	11.69	N3
chr7	75757224	75757225	222689	-0.02631302	-	11.69	N3
chr8	110832586	110832587	237326	-0.1838252	-	11.69	N3
chr12	49262957	49262958	50382	-0.133139	+	11.72	N3
chr8	27324599	27324600	232060	0.3720831	+	11.72	N3
chr15	65401499	65401500	76334	0.3469877	+	11.72	N3
chr1	119844396	119844397	12450	0.1349182	+	11.72	N3
chr16	80527487	80527488	89187	0.07839677	+	11.75	N3
chr19	10002060	10002061	113584	0.3143279	+	11.75	N3
chr3	129383460	129383461	170446	0.1550856	+	11.75	N3
chr13	27830126	27830127	58635	0.3967658	+	11.78	N3
chr12	98699059	98699060	53741	-0.2003248	+	11.78	N3
chr9	104682743	104682744	247311	-0.2599803	-	11.81	N3
chr9	127311329	127311330	249344	-0.1496386	+	11.81	N3
chr3	193572568	193572569	174523	0.1082457	-	11.84	N3
chr4	109703129	109703130	182468	-0.1706279	+	11.84	N3
chr9	85610268	85610269	245485	-0.044278	-	11.84	N3
chr10	97553689	97553690	29873	0.0924408	-	11.84	N3
chr1	9010207	9010208	2008	0.364880654721626	+	11.84	N3
chr12	79738314	79738315	52802	-0.1091253	-	11.84	N3
chr4	40229187	40229188	179124	-0.1429814	+	11.87	N3
chr3	72822557	72822558	167148	0.1282611	-	11.87	N3
chr19	50165588	50165589	120733	-0.2094725	+	11.87	N3
chr19	40549385	40549386	118863	-0.1891266	+	11.9	N3
