motif_chr	motif_start	motif_end	motif_index	salt_tolerance	strand	xchip_signal	peak_group
chr8	137891079	137891080	239048	0.6019398	-	6.62	N2
chr14	47917545	47917546	65451	0.07795028	+	6.65	N2
chr9	134739313	134739314	251124	0.7309072	-	6.68	N2
chr1	181504475	181504476	17132	0.3777756	-	6.71	N2
chr11	131748357	131748358	46171	0.1323764	+	6.74	N2
chrX	39445538	39445539	254898	0.9260207	-	6.74	N2
chr14	94423660	94423661	69042	0.3652832	+	6.77	N2
chr11	127346042	127346043	45767	0.2318667	-	6.8	N2
chr14	76456398	76456399	67681	1.100508	+	6.83	N2
chr5	168114605	168114606	198169	0.6422307	+	6.83	N2
chr10	120735973	120735974	32045	0.0693221	-	6.95	N2
chr17	22703970	22703971	94589	1.100926	+	7.01	N2
chr11	103682480	103682481	43518	0.8551321	+	7.04	N2
chrX	108224877	108224878	258781	0.3299193	+	7.07	N2
chr13	96229535	96229536	62068	0.6598355	-	7.07	N2
chr19	40570837	40570838	118872	0.4731343	+	7.07	N2
chr16	10988676	10988677	83265	0.3518899	+	7.1	N2
chr16	31159856	31159857	85501	0.5349583	-	7.1	N2
chr7	108875340	108875341	225048	0.4688416	-	7.13	N2
chr18	23207535	23207536	107199	1.326383	-	7.16	N2
chr4	163048643	163048644	185125	0.2729795	+	7.22	N2
chr3	87504090	87504091	167751	-0.05269009	-	7.28	N2
chr15	87672488	87672489	79025	0.2576379	+	7.37	N2
chr13	42969763	42969764	59693	1.971173	+	7.49	N2
chr15	51906036	51906037	75253	0.198537	-	7.52	N2
chr12	13534967	13534968	48410	1.319698	-	7.55	N2
chr17	19646078	19646079	94228	0.9711471	-	7.61	N2
chr20	62921371	62921372	150291	-0.1288204	-	7.64	N2
chr15	93997250	93997251	79751	0.2157224	+	7.67	N2
chr14	92613286	92613287	68793	-0.150013	+	7.67	N2
chr10	63976729	63976730	26912	1.228258	-	7.73	N2
chr19	3234926	3234927	112225	0.7575609	+	7.76	N2
chr4	158170736	158170737	184935	1.072354	+	7.79	N2
chr2	146412816	146412817	135052	0.4419721	+	7.79	N2
chr18	70782052	70782053	110135	1.117664	+	7.82	N2
chr20	40160263	40160264	147260	0.6189219	+	7.85	N2
chr10	112115977	112115978	31222	0.7618514	+	7.85	N2
chr20	21693519	21693520	144159	1.504107	-	7.88	N2
chr3	117997646	117997647	169043	0.7366605	-	7.88	N2
chr14	55864965	55864966	65939	-0.01484585	+	7.91	N2
chr15	38390120	38390121	74077	1.908182	-	7.91	N2
chr3	73508561	73508562	167204	0.2518732	+	7.94	N2
chr11	64516468	64516469	39725	0.225657	-	7.94	N2
chr16	7513595	7513596	82943	0.4694665	+	7.94	N2
chr14	60350101	60350102	66241	0.3118681	+	7.94	N2
chrX	120365478	120365479	259432	0.3145619	+	7.94	N2
chr17	8991705	8991706	93002	0.3480437	+	7.97	N2
chr3	61371323	61371324	166380	0.3289672	-	7.97	N2
chr15	71730742	71730743	77077	0.4089379	-	8.01	N2
chr5	141094554	141094555	196253	0.1307077	+	8.07	N2
chr21	32096677	32096678	152215	0.2325964	+	8.07	N2
chr2	107573038	107573039	132078	0.02036599	+	8.1	N2
chr13	53782587	53782588	60513	0.2462412	+	8.1	N2
chrX	103489933	103489934	258488	0.9763765	-	8.1	N2
chr15	70812242	70812243	76989	0.8100338	-	8.13	N2
chrX	125132477	125132478	259650	-0.09663289	+	8.13	N2
chr13	29714028	29714029	58816	0.663963	-	8.13	N2
chr12	66708866	66708867	52150	0.1351433	-	8.16	N2
chr3	109050778	109050779	168570	0.3440556	+	8.16	N2
chr7	124276196	124276197	225699	0.5178592	-	8.16	N2
chr4	259425	259426	175421	0.3315441	+	8.19	N2
chrX	51145004	51145005	255801	0.2853125	+	8.22	N2
chr7	53350443	53350444	221103	0.4886087	+	8.22	N2
chr1	107197156	107197157	11250	0.4534359	+	8.25	N2
chr12	3041739	3041740	47326	1.162515	-	8.28	N2
chr16	12896759	12896760	83512	0.1223819	+	8.28	N2
chr8	9749302	9749303	230527	0.2317947	+	8.31	N2
chr8	17577049	17577050	231124	1.211486	+	8.34	N2
chr17	12256574	12256575	93314	0.1132342	+	8.4	N2
chr14	39491219	39491220	65164	-0.09806064	+	8.43	N2
chr14	21860297	21860298	63955	0.3177383	+	8.43	N2
chr12	130047481	130047482	57022	0.6382684	+	8.43	N2
chr1	209513505	209513506	19265	1.02343	-	8.46	N2
chr9	86637644	86637645	245555	0.3213711	+	8.46	N2
chr17	10646601	10646602	93197	1.501423	+	8.49	N2
chr14	51780280	51780281	65665	1.552499	-	8.49	N2
chr18	61901553	61901554	109732	1.239699	-	8.52	N2
chr17	4980753	4980754	92403	0.7386553	+	8.52	N2
chr11	15771006	15771007	36176	0.3247699	+	8.55	N2
chr1	3695799	3695800	1128	0.269924430706407	+	8.55	N2
chr10	230943	230944	22500	0.4720302	-	8.58	N2
chr3	86969995	86969996	167720	1.037397	+	8.58	N2
chr3	72655991	72655992	167134	0.7289755	-	8.58	N2
chrX	38718063	38718064	254837	0.3362371	+	8.58	N2
chr20	58481670	58481671	149450	0.6867936	+	8.58	N2
chr2	238153477	238153478	141339	0.6533118	-	8.61	N2
chr11	133134753	133134754	46269	1.339225	+	8.61	N2
chr8	265931	265932	229544	1.102158	+	8.64	N2
chr15	73265722	73265723	77216	0.2405669	-	8.64	N2
chr18	26383880	26383881	107424	1.188433	+	8.67	N2
chr1	192998731	192998732	17712	0.3021119	-	8.67	N2
chr1	62144427	62144428	8965	0.5847353	-	8.67	N2
chr13	107650307	107650308	62730	0.1366791	-	8.76	N2
chr12	105279653	105279654	54201	0.6030731	+	8.79	N2
chr1	17439786	17439787	3374	0.3448584	-	8.79	N2
chr9	70510358	70510359	244609	0.1193576	-	8.82	N2
chr16	81141600	81141601	89234	0.3254207	+	8.88	N2
chr7	65447305	65447306	221762	0.0332328	-	8.88	N2
chr15	70722820	70722821	76980	0.09881572	-	8.88	N2
chr10	128069542	128069543	32922	1.643282	-	8.88	N2
chr7	47101013	47101014	220609	0.4848239	-	8.91	N2
chr12	13864272	13864273	48418	1.025244	+	8.94	N2
chr18	37322615	37322616	108046	0.9689007	+	8.94	N2
chr18	14086780	14086781	104750	0.9099019	-	8.97	N2
chr17	75626144	75626145	100447	-0.2546788	-	8.97	N2
chr2	227748266	227748267	140075	0.3112596	+	8.97	N2
chr8	2238457	2238458	229832	0.2734709	+	9	N2
chr14	95994519	95994520	69254	0.8345039	-	9.03	N2
chr17	13003285	13003286	93362	0.2530943	-	9.06	N2
chr10	79293189	79293190	28445	0.9552559	+	9.09	N2
chr2	225889531	225889532	139962	-0.01099957	+	9.09	N2
chr3	69410539	69410540	166918	0.8910594	-	9.09	N2
chr5	73170732	73170733	192306	0.1452432	-	9.12	N2
chrX	103343323	103343324	258479	0.1723632	+	9.12	N2
chrX	129754834	129754835	259857	0.538518	-	9.12	N2
chr17	16991578	16991579	93723	0.3790889	-	9.12	N2
chr3	143433955	143433956	171649	0.4905729	+	9.15	N2
chr3	137105463	137105464	171080	0.08804326	+	9.18	N2
chr5	83927326	83927327	193023	0.5269927	+	9.18	N2
chr3	109082210	109082211	168572	0.09534386	-	9.18	N2
chr20	57622670	57622671	149327	0.8344748	+	9.18	N2
chr9	27888879	27888880	242883	2.147527	-	9.21	N2
chr19	42767442	42767443	119345	1.511869	-	9.21	N2
chr13	52862559	52862560	60452	1.673918	+	9.21	N2
chr13	44973170	44973171	59832	-0.02949832	+	9.24	N2
chr11	61545576	61545577	39097	0.5553031	-	9.24	N2
chrX	136268643	136268644	260347	0.323796	-	9.27	N2
chr3	171172271	171172272	173159	0.5629792	-	9.27	N2
chr10	48608328	48608329	26019	2.258622	+	9.3	N2
chr15	35751799	35751800	73967	1.354534	+	9.33	N2
chr12	17642209	17642210	48619	0.4321835	-	9.36	N2
chr3	118628918	118628919	169070	0.9839286	-	9.36	N2
chr19	11880051	11880052	114021	1.788503	+	9.39	N2
chr3	156509898	156509899	172402	0.1158418	-	9.39	N2
chr13	95494277	95494278	62011	1.325326	+	9.39	N2
chr18	9792786	9792787	104305	0.9700455	-	9.42	N2
chr13	98466805	98466806	62216	0.4541091	-	9.42	N2
chr19	42923321	42923322	119372	1.061975	-	9.46	N2
chr18	58781741	58781742	109534	0.8403424	+	9.46	N2
chr15	77870627	77870628	77923	2.335599	+	9.46	N2
chr19	10861317	10861318	113812	0.9921364	+	9.49	N2
chr12	100672217	100672218	53848	1.165882	-	9.49	N2
chr14	78848431	78848432	67941	0.4997745	-	9.49	N2
chr14	24481742	24481743	64367	0.6475936	+	9.52	N2
chr13	84896323	84896324	61583	0.3582516	+	9.52	N2
chr20	51700937	51700938	148775	1.097081	+	9.55	N2
chr8	144277753	144277754	240518	0.7827608	+	9.58	N2
chr17	12180863	12180864	93309	0.2487318	+	9.58	N2
chr14	22973751	22973752	64099	0.1973598	+	9.58	N2
chrX	68238763	68238764	256699	0.3767504	+	9.58	N2
chr11	116224569	116224570	44380	1.007106	-	9.61	N2
chr13	43905633	43905634	59743	0.1700438	+	9.64	N2
chr1	25608779	25608780	4753	0.3684246	+	9.64	N2
chr16	10256985	10256986	83175	0.08392164	+	9.64	N2
chr5	23139799	23139800	188756	-0.03619049	-	9.67	N2
chrX	51614568	51614569	255834	0.6561703	+	9.67	N2
chr12	16939965	16939966	48588	0.9456617	+	9.67	N2
chrX	104098339	104098340	258530	0.26474	+	9.7	N2
chr22	46355577	46355578	159436	0.3201939	+	9.7	N2
chr11	7688434	7688435	35447	1.04723	-	9.7	N2
chr12	46303249	46303250	50085	0.2712378	-	9.7	N2
chr21	27803065	27803066	151965	0.5701691	-	9.73	N2
chr10	11166260	11166261	23391	0.05197246	-	9.73	N2
chr8	113202465	113202466	237404	0.4962779	+	9.73	N2
chr11	37946365	37946366	37573	1.25188	+	9.76	N2
chrX	131677871	131677872	260007	1.155023	-	9.76	N2
chr11	73730015	73730016	41628	0.4295177	-	9.76	N2
chr13	69857420	69857421	60983	0.130095	-	9.76	N2
chr3	171163389	171163390	173158	0.4451732	+	9.79	N2
chr3	49703628	49703629	165126	0.4984073	+	9.79	N2
chr16	55258157	55258158	86836	1.401007	-	9.82	N2
chrX	10722972	10722973	253361	1.557319	-	9.85	N2
chrX	120486186	120486187	259440	0.03633182	-	9.85	N2
chr14	103354974	103354975	70352	0.3865928	-	9.85	N2
chr2	212777115	212777116	138895	0.1810645	+	9.88	N2
chr7	68177196	68177197	222004	1.609322	+	9.88	N2
chr19	46078753	46078754	119939	1.355223	+	9.88	N2
chr3	67384966	67384967	166813	0.5679667	+	9.91	N2
chr14	76647892	76647893	67703	0.677934	-	9.91	N2
chr14	22314382	22314383	64001	0.6589887	+	9.91	N2
chr3	65342280	65342281	166657	0.8290372	+	9.91	N2
chr14	61269756	61269757	66290	0.4659957	+	9.94	N2
chr5	128675039	128675040	195031	0.752046	-	9.97	N2
chr5	161544455	161544456	197904	0.9401659	+	9.97	N2
chr9	14428958	14428959	242194	0.7945303	-	9.97	N2
chr15	98292626	98292627	79984	2.053016	+	9.97	N2
chr11	79100288	79100289	42267	0.6742662	-	9.97	N2
chr1	171245662	171245663	16392	0.2437083	+	9.97	N2
chrX	70097573	70097574	256855	0.7286202	-	10	N2
chrX	41481456	41481457	255133	0.2263868	-	10.03	N2
chr8	56448095	56448096	234174	0.5312382	+	10.06	N2
chr3	146219090	146219091	171772	0.401668	+	10.06	N2
chrX	71859859	71859860	257004	0.2026173	-	10.06	N2
chr11	33543147	33543148	37244	0.314597	+	10.06	N2
chr2	239035461	239035462	141548	1.372018	+	10.09	N2
chr11	192178	192179	34091	0.3156222	+	10.09	N2
chrX	155086640	155086641	261764	0.8850249	-	10.12	N2
chrX	68462870	68462871	256713	0.4055391	-	10.12	N2
chrX	104136605	104136606	258535	0.355761	-	10.12	N2
chr13	110222411	110222412	62895	1.150988	+	10.12	N2
chr12	3034340	3034341	47324	0.5890423	-	10.12	N2
chr5	111550720	111550721	194150	0.5649522	+	10.12	N2
chr2	167845266	167845267	136225	0.09337973	-	10.15	N2
chr4	20773594	20773595	178180	0.2822135	+	10.18	N2
chr10	86693964	86693965	29032	0.3575658	+	10.21	N2
chr9	96219843	96219844	246684	1.03996	-	10.21	N2
chr3	72893058	72893059	167153	1.143001	-	10.21	N2
chr4	42865782	42865783	179303	1.228377	-	10.24	N2
chr13	100722104	100722105	62422	0.5024145	+	10.24	N2
chr10	29513203	29513204	24655	0.3319916	-	10.27	N2
chrX	104195678	104195679	258538	1.122043	+	10.27	N2
chr22	43883273	43883274	158978	1.211399	+	10.27	N2
chr1	42511774	42511775	7079	0.9473776	+	10.27	N2
chr17	3602724	3602725	92153	0.01885827	+	10.27	N2
chr9	77150950	77150951	244992	0.4037973	-	10.27	N2
chr19	6460651	6460652	113073	0.7699521	+	10.3	N2
chr4	158667955	158667956	184965	-0.3004936	-	10.33	N2
chr18	63518623	63518624	109862	1.973658	+	10.33	N2
chr22	44975810	44975811	159190	0.5541609	+	10.36	N2
chr15	100342205	100342206	80222	0.8939668	+	10.39	N2
chr19	37228220	37228221	118360	0.757081	-	10.39	N2
chr20	23799397	23799398	144393	1.533776	+	10.42	N2
chrX	25144232	25144233	254295	0.9560878	-	10.45	N2
chr5	147628255	147628256	196782	0.4849759	+	10.45	N2
chr2	175329276	175329277	136818	1.392591	-	10.45	N2
chr19	5154332	5154333	112783	0.7391061	-	10.48	N2
chr2	211745498	211745499	138856	0.3725488	+	10.48	N2
chr2	132547289	132547290	134403	0.414862	+	10.48	N2
chrX	136954317	136954318	260387	0.1352487	-	10.54	N2
chr11	60251679	60251680	38888	0.9144736	-	10.57	N2
chr9	77458187	77458188	245008	0.6673866	+	10.57	N2
chr7	150876932	150876933	227929	0.3452328	+	10.57	N2
chr1	237938743	237938744	21760	0.8888262	-	10.6	N2
chr16	71422212	71422213	88456	0.595521	-	10.6	N2
chr16	85529041	85529042	89910	1.127583	-	10.63	N2
chr11	65552256	65552257	39993	1.029625	-	10.63	N2
chr3	11060910	11060911	161723	0.898091	+	10.63	N2
chr11	45183184	45183185	38017	0.5283923	+	10.66	N2
chr10	100743769	100743770	30210	1.01382	-	10.66	N2
chr3	38738839	38738840	163810	2.05391	+	10.66	N2
chr1	152185761	152185762	14442	0.9850609	+	10.69	N2
chr18	55384738	55384739	109290	0.9126265	+	10.69	N2
chr22	43885178	43885179	158980	1.153335	-	10.69	N2
chr9	19493275	19493276	242505	1.58673	+	10.69	N2
chr5	98768289	98768290	193621	0.180572	-	10.72	N2
chr17	20121812	20121813	94285	0.2297505	+	10.75	N2
chr14	87896591	87896592	68302	0.1845353	-	10.75	N2
chr17	70767300	70767301	99774	0.1550136	+	10.75	N2
chr9	119556244	119556245	248441	1.310419	+	10.75	N2
chr11	124586421	124586422	45410	0.7356766	+	10.75	N2
chr3	64030843	64030844	166565	1.532287	+	10.78	N2
chr10	36889171	36889172	25187	0.4068217	+	10.78	N2
chr17	27431082	27431083	94652	0.5789001	-	10.78	N2
chr10	119209659	119209660	31881	0.3031678	-	10.78	N2
chr7	66825722	66825723	221902	1.105303	+	10.78	N2
chr22	32266352	32266353	157120	0.6774144	-	10.81	N2
chr14	34301330	34301331	64841	0.3069669	-	10.81	N2
chr8	120956854	120956855	237789	1.038859	-	10.81	N2
chr10	103884862	103884863	30708	1.110922	-	10.81	N2
chr9	94623450	94623451	246492	0.4714657	-	10.84	N2
chr19	41691574	41691575	119086	1.584356	-	10.84	N2
chr15	68554196	68554197	76703	2.70031	+	10.84	N2
chr18	10560636	10560637	104385	1.197514	+	10.84	N2
chrX	11724601	11724602	253432	0.554503	-	10.84	N2
chr4	147161102	147161103	184294	0.4773009	+	10.84	N2
chr14	89177609	89177610	68389	1.616427	+	10.84	N2
chr10	104353730	104353731	30762	0.6390262	+	10.87	N2
chr14	78598222	78598223	67919	0.8572033	-	10.87	N2
chr16	62225862	62225863	87481	0.2622421	+	10.87	N2
chr8	69663927	69663928	234995	1.3145	+	10.91	N2
chrX	11144439	11144440	253385	0.383899	+	10.91	N2
chr8	71828086	71828087	235125	0.3892146	+	10.91	N2
chr5	88602861	88602862	193172	0.5105443	-	10.91	N2
chr12	10562507	10562508	48193	0.2558332	-	10.91	N2
chr1	5893866	5893867	1432	0.0238817824938779	-	10.94	N2
chr14	32073775	32073776	64718	0.1576493	+	10.94	N2
chr3	118817876	118817877	169083	0.3504622	-	10.94	N2
chr3	128795223	128795224	170332	1.470101	-	10.94	N2
chr3	114383963	114383964	168878	0.5632737	+	10.94	N2
chr3	160032396	160032397	172638	0.731359	+	10.97	N2
chr3	148947460	148947461	171899	0.225657	-	10.97	N2
chr1	7070584	7070585	1713	0.664822952340942	-	11	N2
chr15	72312787	72312788	77134	0.8173027	+	11.03	N2
chr10	94630201	94630202	29577	-0.07343852	+	11.06	N2
chr12	10235950	10235951	48180	1.011438	+	11.06	N2
chr14	99393246	99393247	69603	1.204653	+	11.06	N2
chr15	73127503	73127504	77203	0.9737547	+	11.06	N2
chr8	19346595	19346596	231253	0.7923253	-	11.06	N2
chrX	47030519	47030520	255426	0.07949504	-	11.09	N2
chr22	39135304	39135305	158144	0.4089379	+	11.09	N2
chr15	42471765	42471766	74593	0.7157792	-	11.09	N2
chr2	151947385	151947386	135365	0.341914	-	11.09	N2
chr10	13082716	13082717	23584	0.1560246	-	11.09	N2
chr17	51764560	51764561	98168	2.007918	+	11.09	N2
chr12	118714191	118714192	55639	1.797901	+	11.12	N2
chr20	59783237	59783238	149636	0.6518391	+	11.12	N2
chr3	161274888	161274889	172712	1.472634	-	11.12	N2
chr1	30086125	30086126	5450	0.8672592	-	11.15	N2
chr5	57650480	57650481	191359	0.3217555	+	11.15	N2
chr16	63361213	63361214	87517	0.7288892	+	11.15	N2
chr18	62425870	62425871	109766	0.5300752	+	11.15	N2
chr10	43671826	43671827	25502	1.373699	+	11.15	N2
chr9	36023620	36023621	243431	0.5076413	-	11.15	N2
chr10	118568472	118568473	31799	0.4196753	+	11.15	N2
chr18	42028425	42028426	108281	0.6909178	+	11.15	N2
chr22	30287944	30287945	156808	0.6298695	+	11.15	N2
chr1	147098562	147098563	13939	0.03020844	-	11.18	N2
chr4	122003564	122003565	183063	0.3893789	-	11.18	N2
chr3	73432629	73432630	167195	0.6502743	-	11.18	N2
chrX	131633715	131633716	260004	0.8782789	-	11.18	N2
chr19	50906439	50906440	120902	0.4177551	+	11.18	N2
chr3	113736656	113736657	168836	-0.04269562	+	11.21	N2
chrX	103689162	103689163	258500	0.03314652	+	11.21	N2
chr17	44150717	44150718	96999	0.2170358	-	11.21	N2
chr8	47203362	47203363	233517	0.3500147	+	11.24	N2
chr22	39559914	39559915	158263	0.3402443	+	11.24	N2
chr17	51461716	51461717	98149	1.558709	+	11.24	N2
chr8	121711073	121711074	237824	0.1164951	-	11.27	N2
chr18	25896385	25896386	107406	0.4886098	-	11.27	N2
chr19	9312240	9312241	113515	0.4160864	+	11.27	N2
chr11	59208118	59208119	38833	0.4886087	-	11.27	N2
chr1	168452524	168452525	16228	0.3699412	+	11.27	N2
chrX	102841116	102841117	258440	0.1432001	+	11.3	N2
chr12	108337489	108337490	54466	0.5877597	-	11.33	N2
chrX	19544891	19544892	253972	0.558971	+	11.33	N2
chr15	75733007	75733008	77690	2.081709	+	11.36	N2
chr3	127544428	127544429	170087	0.9409237	-	11.36	N2
chr14	67571466	67571467	66782	0.6602099	-	11.36	N2
chr8	70835109	70835110	235059	0.8090218	+	11.36	N2
chr1	107529737	107529738	11270	0.08804326	-	11.36	N2
chr9	68568243	68568244	244458	0.6269787	-	11.39	N2
chr2	100607027	100607028	131549	1.256231	+	11.42	N2
chr9	114681692	114681693	248186	2.062472	+	11.42	N2
chr21	30463942	30463943	152097	1.822166	-	11.45	N2
chr15	77617718	77617719	77859	0.1188661	+	11.45	N2
chr1	12601421	12601422	2633	0.333095717221276	+	11.45	N2
chrX	69222301	69222302	256795	0.8402562	-	11.45	N2
chr4	153634946	153634947	184686	0.2323142	+	11.45	N2
chr19	11771702	11771703	114007	0.5116934	+	11.51	N2
chr8	40951772	40951773	233095	1.177007	+	11.51	N2
chr3	18389311	18389312	162631	-0.1169788	-	11.54	N2
chr13	95624126	95624127	62025	0.2700414	+	11.54	N2
chr10	69800296	69800297	27239	0.01625329	-	11.57	N2
chr5	115586717	115586718	194412	-0.02537409	-	11.57	N2
chr1	26538879	26538880	4916	0.7563837	+	11.57	N2
chr5	15105991	15105992	188432	1.552144	+	11.6	N2
chr18	21179806	21179807	107055	0.3279113	-	11.6	N2
chr12	130014144	130014145	57013	0.5846183	-	11.63	N2
chr4	22690915	22690916	178259	0.4746378	-	11.63	N2
chr12	105705869	105705870	54230	1.52992	+	11.66	N2
chr17	69394897	69394898	99716	1.485012	-	11.66	N2
chr18	79528983	79528984	110850	0.2928779	+	11.66	N2
chr4	169493096	169493097	185441	1.410228	-	11.66	N2
chr1	22317460	22317461	4227	1.020551	-	11.66	N2
chr16	48687601	48687602	86182	-0.1217888	-	11.66	N2
chr2	45014243	45014244	127545	0.3587431	-	11.69	N2
chr5	61768884	61768885	191605	0.3646705	+	11.69	N2
chr14	78022175	78022176	67877	0.3807576	+	11.69	N2
chr2	94956986	94956987	130863	2.29647	-	11.72	N2
chr19	57104174	57104175	121729	1.547528	+	11.72	N2
chr4	168943182	168943183	185396	1.230793	-	11.72	N2
chr3	64530644	64530645	166613	0.3772418	+	11.72	N2
chr8	64695785	64695786	234689	0.4863882	-	11.75	N2
chr1	19811415	19811416	3845	0.8959748	-	11.75	N2
chr12	9708366	9708367	48139	0.8479385	-	11.75	N2
chr18	76802203	76802204	110542	0.485093	+	11.78	N2
chr13	19818424	19818425	57935	0.5725966	-	11.78	N2
chr13	92187580	92187581	61831	1.058144	+	11.81	N2
chr5	148741458	148741459	196842	0.6288824	+	11.81	N2
chr15	73273551	73273552	77217	0.4456049	-	11.84	N2
chr13	98840305	98840306	62257	0.462587	+	11.84	N2
chr11	114739147	114739148	44247	0.7206936	+	11.84	N2
chr11	19742893	19742894	36543	1.305025	+	11.84	N2
chr6	131519766	131519767	209458	0.6488879	+	11.84	N2
chr4	40976434	40976435	179174	0.1206518	+	11.84	N2
chr20	7286111	7286112	143119	0.8844165	-	11.87	N2
chr10	120943007	120943008	32054	1.29545	+	11.87	N2
chr16	1330725	1330726	81810	0.9627607	+	11.87	N2
chr14	60332003	60332004	66240	1.475659	+	11.9	N2
chr17	7001774	7001775	92628	1.338197	-	11.9	N2
chr2	149040669	149040670	135190	0.9644268	+	11.93	N2
chr13	111067959	111067960	63035	0.530017	+	11.93	N2
chr3	142987273	142987274	171604	0.354945	-	11.93	N2
chr6	44100248	44100249	204925	0.2158585	+	11.96	N2
chr10	52780289	52780290	26353	1.239608	-	11.96	N2
chr13	79424243	79424244	61397	0.02166022	+	11.96	N2
chr15	72600056	72600057	77153	0.1916839	+	11.96	N2
chr5	9361936	9361937	188005	1.302357	+	11.96	N2
chr1	109923608	109923609	11518	0.9803811	+	11.99	N2
chr11	112555896	112555897	44026	0.8313308	-	11.99	N2
chr3	141474409	141474410	171500	1.181998	+	11.99	N2
chr3	183386182	183386183	173716	0.6239544	-	11.99	N2
