motif_chr	motif_start	motif_end	motif_index	salt_tolerance	strand	xchip_signal	peak_group
chr16	56281319	56281320	86927	-0.3004936	-	7.85	XChIP
chr5	123345013	123345014	194762	-0.3015188	-	7.85	XChIP
chr11	114762622	114762623	44250	-0.2599803	-	7.88	XChIP
chr1	241605368	241605369	21931	-0.2904991	+	7.88	XChIP
chr9	121376419	121376420	248594	-0.3106665	-	7.91	XChIP
chr14	63770386	63770387	66436	-0.2943702	-	7.91	XChIP
chr13	32539033	32539034	59074	-0.3106665	-	7.94	XChIP
chr1	89623072	89623073	10394	-0.3106665	-	7.94	XChIP
chr19	18771779	18771780	115404	-0.3106665	+	7.94	XChIP
chr6	53104470	53104471	205526	-0.3035179	+	7.94	XChIP
chr13	37109273	37109274	59336	-0.2813514	+	7.94	XChIP
chr9	35729903	35729904	243392	-0.2121664	+	7.97	XChIP
chr2	161946724	161946725	135933	-0.2111412	-	7.97	XChIP
chr11	90249745	90249746	42819	-0.3004936	+	8.01	XChIP
chr2	80326401	80326402	130094	-0.276202	+	8.07	XChIP
chr4	46274930	46274931	179419	-0.3004936	-	8.07	XChIP
chr16	70471066	70471067	88335	-0.2711784	-	8.1	XChIP
chr6	22828638	22828639	202221	-0.2803262	-	8.1	XChIP
chr19	58407189	58407190	121879	-0.3106665	-	8.1	XChIP
chr12	6323425	6323426	47739	-0.3004936	+	8.13	XChIP
chr2	26235291	26235292	125946	-0.2943702	+	8.13	XChIP
chr6	43427587	43427588	204778	-0.3106665	+	8.13	XChIP
chr8	73654182	73654183	235246	-0.3015188	-	8.16	XChIP
chr22	17891947	17891948	154769	-0.3106665	-	8.16	XChIP
chr1	203625759	203625760	18554	-0.3106665	+	8.16	XChIP
chr9	95265099	95265100	246573	-0.3015188	+	8.19	XChIP
chr11	22540175	22540176	36717	-0.3004936	-	8.22	XChIP
chr20	45487303	45487304	147839	-0.1909738	-	8.22	XChIP
chr11	26551387	26551388	36876	-0.2819948	-	8.25	XChIP
chr6	34858881	34858882	203690	-0.293345	+	8.28	XChIP
chr6	12603603	12603604	201501	-0.3106665	-	8.28	XChIP
chr7	64621852	64621853	221675	-0.3004936	+	8.31	XChIP
chr5	171927548	171927549	198592	-0.2904991	-	8.34	XChIP
chr14	105489820	105489821	71139	-0.2813514	-	8.4	XChIP
chr22	24772741	24772742	156125	-0.2803262	-	8.43	XChIP
chr14	20613557	20613558	63827	-0.2913459	-	8.43	XChIP
chr1	105793741	105793742	11197	-0.2031707	-	8.43	XChIP
chr9	71716377	71716378	244667	-0.2921678	-	8.46	XChIP
chr15	55918020	55918021	75512	-0.2711784	-	8.46	XChIP
chr16	1983957	1983958	82002	-0.3004936	+	8.49	XChIP
chr9	32526632	32526633	243025	-0.3015188	-	8.49	XChIP
chr11	96156028	96156029	43171	-0.3015188	-	8.52	XChIP
chr6	2854333	2854334	200669	-0.3106665	-	8.52	XChIP
chr14	92784015	92784016	68818	-0.2813514	-	8.55	XChIP
chr11	134262214	134262215	46399	-0.2538569	+	8.55	XChIP
chr17	32483659	32483660	95303	-0.3106665	+	8.58	XChIP
chr8	12224030	12224031	230863	-0.2628526	+	8.58	XChIP
chr18	12540034	12540035	104578	-0.2728471	+	8.58	XChIP
chr10	100994436	100994437	30257	-0.2813514	+	8.58	XChIP
chr21	44846096	44846097	153925	-0.3106665	+	8.58	XChIP
chr7	91046534	91046535	223422	-0.3106665	+	8.61	XChIP
chr14	21241412	21241413	63907	-0.2306651	+	8.61	XChIP
chr3	128784439	128784440	170331	-0.1838252	+	8.64	XChIP
chr2	114551512	114551513	132764	-0.2701532	-	8.64	XChIP
chr3	125582921	125582922	169693	-0.3106665	-	8.67	XChIP
chr2	111117194	111117195	132445	-0.2314871	+	8.67	XChIP
chr4	183250071	183250072	186102	-0.3106665	-	8.67	XChIP
chr4	139705247	139705248	183854	-0.2711784	-	8.76	XChIP
chr5	127746950	127746951	194979	-0.3106665	+	8.79	XChIP
chr4	40551031	40551032	179144	-0.3106665	-	8.79	XChIP
chr2	210617926	210617927	138814	-0.3004936	+	8.82	XChIP
chr13	19587604	19587605	57916	-0.3106665	+	8.88	XChIP
chr18	48412557	48412558	108750	-0.1598115	-	8.88	XChIP
chr11	7513301	7513302	35426	-0.2803262	+	8.88	XChIP
chr8	48121333	48121334	233592	-0.2398129	+	8.88	XChIP
chr11	22730523	22730524	36728	-0.3106665	-	8.91	XChIP
chr1	160494796	160494797	15532	-0.2904991	+	8.94	XChIP
chr3	187113398	187113399	174178	-0.2290315	+	8.94	XChIP
chrX	36908997	36908998	254732	-0.2819948	-	8.97	XChIP
chr17	74736896	74736897	100252	-0.2813514	-	8.97	XChIP
chr12	55659970	55659971	51297	-0.3106665	+	8.97	XChIP
chr7	155738845	155738846	228629	-0.3004936	-	9	XChIP
chrX	129823334	129823335	259866	-0.2904991	-	9.03	XChIP
chr2	216905845	216905846	139141	-0.2731776	-	9.06	XChIP
chr3	153165361	153165362	172194	-0.3106665	+	9.09	XChIP
chr16	31451878	31451879	85539	-0.3106665	-	9.09	XChIP
chr10	4767238	4767239	22928	-0.3015188	-	9.09	XChIP
chr7	72830165	72830166	222273	-0.3106665	-	9.12	XChIP
chr4	71941210	71941211	180531	-0.2803262	-	9.12	XChIP
chr2	96011273	96011274	131007	-0.2913459	+	9.12	XChIP
chr4	11766058	11766059	177651	-0.2151908	+	9.12	XChIP
chr6	127539502	127539503	209246	-0.3106665	-	9.15	XChIP
chr14	64671706	64671707	66507	-0.2398129	+	9.18	XChIP
chr16	23837147	23837148	84511	-0.2813514	-	9.18	XChIP
chr2	11130112	11130113	124726	-0.3015188	-	9.18	XChIP
chrX	56733651	56733652	256225	-0.2361801	-	9.18	XChIP
chr5	113511037	113511038	194291	-0.3106665	-	9.21	XChIP
chr10	60769005	60769006	26688	-0.3004936	-	9.21	XChIP
chr20	3781609	3781610	142790	-0.3004936	-	9.21	XChIP
chr4	72909663	72909664	180586	-0.2913459	-	9.24	XChIP
chr14	61894662	61894663	66338	-0.1938197	+	9.24	XChIP
chr8	6425294	6425295	230152	-0.2720004	+	9.27	XChIP
chr1	31460214	31460215	5671	-0.2904991	+	9.27	XChIP
chr2	43131729	43131730	127390	-0.2833505	+	9.3	XChIP
chr3	45055736	45055737	164411	-0.2398129	-	9.33	XChIP
chr11	68009739	68009740	40564	-0.3106665	+	9.36	XChIP
chr15	34969888	34969889	73926	-0.1645045	-	9.36	XChIP
chr4	153785995	153785996	184706	-0.3106665	+	9.39	XChIP
chr10	50988901	50988902	26276	-0.3106665	+	9.39	XChIP
chr4	88659528	88659529	181525	-0.3106665	+	9.39	XChIP
chr16	29641732	29641733	85142	-0.3106665	+	9.42	XChIP
chr5	39283514	39283515	189554	-0.2515656	-	9.42	XChIP
chr12	21437748	21437749	48798	-0.3015188	-	9.46	XChIP
chr7	76389149	76389150	222783	-0.3035179	+	9.46	XChIP
chr12	78181744	78181745	52739	-0.3106665	+	9.46	XChIP
chr11	22152936	22152937	36696	-0.2913459	-	9.49	XChIP
chr8	17724467	17724468	231141	-0.2819948	+	9.49	XChIP
chr9	136143469	136143470	251508	-0.2398129	+	9.49	XChIP
chr13	25005368	25005369	58395	-0.3106665	+	9.52	XChIP
chr19	36190626	36190627	118291	-0.2711784	+	9.52	XChIP
chr12	85310671	85310672	53029	-0.2872216	+	9.55	XChIP
chr6	107980636	107980637	208127	-0.3106665	-	9.58	XChIP
chr8	108073342	108073343	237198	-0.3004936	-	9.58	XChIP
chr11	63745767	63745768	39486	-0.3015188	+	9.58	XChIP
chr10	68988823	68988824	27129	-0.3106665	+	9.58	XChIP
chr18	22983403	22983404	107182	-0.2850192	-	9.61	XChIP
chr7	39864125	39864126	219887	-0.2803262	+	9.64	XChIP
chr5	71659454	71659455	192191	-0.2720004	+	9.64	XChIP
chr12	22529471	22529472	48864	-0.2913459	+	9.64	XChIP
chr10	71970548	71970549	27679	-0.2803262	-	9.67	XChIP
chr19	12366015	12366016	114072	-0.3004936	-	9.67	XChIP
chr12	120314422	120314423	55793	-0.2296399	+	9.67	XChIP
chr10	132637997	132637998	33688	-0.2640299	-	9.7	XChIP
chr11	85664301	85664302	42567	-0.2904991	-	9.7	XChIP
chr10	5685712	5685713	23035	-0.293345	+	9.7	XChIP
chr10	74153316	74153317	27873	-0.3015188	-	9.7	XChIP
chr9	28073460	28073461	242888	-0.2770487	-	9.73	XChIP
chr19	34838442	34838443	118031	-0.3106665	+	9.73	XChIP
chr3	17686824	17686825	162588	-0.3106665	-	9.73	XChIP
chr21	37497165	37497166	152763	-0.2499858	+	9.76	XChIP
chr13	99034014	99034015	62278	-0.3015188	-	9.76	XChIP
chr9	136089828	136089829	251480	-0.3004936	+	9.76	XChIP
chr5	39570616	39570617	189573	-0.2353582	-	9.76	XChIP
chr3	122356628	122356629	169339	-0.3106665	-	9.79	XChIP
chr8	92069386	92069387	236124	-0.2813514	+	9.79	XChIP
chr8	80052675	80052676	235517	-0.3004936	-	9.82	XChIP
chr3	152574656	152574657	172155	-0.3004936	-	9.85	XChIP
chr5	78965098	78965099	192746	-0.3106665	-	9.85	XChIP
chr7	73629422	73629423	222385	-0.1496736	+	9.85	XChIP
chr1	201185101	201185102	18156	-0.2904991	-	9.88	XChIP
chr3	149120470	149120471	171908	-0.2904991	+	9.88	XChIP
chr6	164109960	164109961	211766	-0.07878492	-	9.88	XChIP
chr20	5610951	5610952	142999	-0.266029	-	9.91	XChIP
chr14	50600146	50600147	65580	-0.3106665	+	9.91	XChIP
chr13	38045974	38045975	59378	-0.2701532	-	9.91	XChIP
chr3	142126370	142126371	171545	-0.2904991	+	9.91	XChIP
chr18	9951448	9951449	104316	-0.2819948	-	9.94	XChIP
chr2	71802211	71802212	129464	-0.04211791	+	9.97	XChIP
chr7	42886364	42886365	220070	-0.3004936	-	9.97	XChIP
chr12	85076805	85076806	53017	-0.2634961	+	9.97	XChIP
chr22	39331364	39331365	158203	-0.293345	-	9.97	XChIP
chr10	71746852	71746853	27634	-0.2913459	-	9.97	XChIP
chr4	67872072	67872073	180319	-0.3015188	+	9.97	XChIP
chr12	100348862	100348863	53824	-0.3015188	+	10	XChIP
chr20	50576063	50576064	148602	-0.2428372	-	10.03	XChIP
chrX	70769840	70769841	256911	-0.2449973	+	10.06	XChIP
chr5	82349854	82349855	192967	-0.1645045	+	10.06	XChIP
chr22	19705515	19705516	155031	-0.2204922	+	10.06	XChIP
chrX	41781691	41781692	255150	-0.2306651	+	10.06	XChIP
chr3	179768205	179768206	173539	-0.2526797	+	10.09	XChIP
chr4	20544878	20544879	178166	-0.2711784	-	10.09	XChIP
chr3	150528681	150528682	172023	-0.2963694	+	10.12	XChIP
chr9	96651810	96651811	246723	-0.3035179	-	10.12	XChIP
chr12	18250504	18250505	48642	-0.2445059	+	10.12	XChIP
chr22	22976449	22976450	155752	-0.3106665	-	10.12	XChIP
chr13	87274412	87274413	61654	-0.1606334	-	10.12	XChIP
chr12	110224462	110224463	54738	-0.2003248	-	10.12	XChIP
chr7	36083133	36083134	219575	-0.2701532	-	10.15	XChIP
chrX	41798247	41798248	255152	-0.3106665	+	10.18	XChIP
chr3	13229800	13229801	162042	-0.2904991	+	10.21	XChIP
chr4	88818848	88818849	181537	-0.3106665	+	10.21	XChIP
chr20	37941535	37941536	147027	-0.2803262	+	10.21	XChIP
chr3	47799951	47799952	164818	-0.2813514	-	10.24	XChIP
chr16	68116434	68116435	88040	-0.2243385	-	10.24	XChIP
chr2	206154409	206154410	138535	-0.3106665	-	10.27	XChIP
chr17	4710054	4710055	92342	-0.2813514	+	10.27	XChIP
chr19	38932971	38932972	118618	-0.1121496	-	10.27	XChIP
chr2	24921360	24921361	125795	-0.3106665	-	10.27	XChIP
chr2	120109968	120109969	133146	-0.2711784	+	10.27	XChIP
chr1	209207840	209207841	19236	-0.2904991	-	10.27	XChIP
chr1	149942446	149942447	14167	-0.2921678	-	10.3	XChIP
chr8	144343220	144343221	240546	-0.3106665	+	10.33	XChIP
chr5	133980045	133980046	195416	-0.2921678	-	10.33	XChIP
chr8	8989512	8989513	230474	-0.2963694	-	10.36	XChIP
chr3	136042814	136042815	171015	-0.3015188	-	10.39	XChIP
chr1	156619525	156619526	15111	-0.2813514	+	10.39	XChIP
chr22	49993549	49993550	160185	-0.2103193	+	10.42	XChIP
chr10	88987148	88987149	29172	-0.2640299	-	10.45	XChIP
chr4	2673354	2673355	176039	-0.2904991	+	10.45	XChIP
chr3	28286787	28286788	163109	-0.2913459	-	10.45	XChIP
chr13	107906320	107906321	62744	-0.2314871	+	10.48	XChIP
chr7	67277180	67277181	221937	-0.3106665	-	10.48	XChIP
chr2	121748367	121748368	133435	-0.3106665	-	10.48	XChIP
chr17	38865070	38865071	96056	-0.3106665	-	10.54	XChIP
chrX	47093475	47093476	255430	-0.2282096	-	10.57	XChIP
chrX	24259755	24259756	254230	-0.2813514	+	10.57	XChIP
chr15	78860334	78860335	78136	-0.293345	+	10.57	XChIP
chr16	53550131	53550132	86687	-0.3106665	+	10.6	XChIP
chr22	50576245	50576246	160390	-0.3106665	+	10.6	XChIP
chr15	89243851	89243852	79226	-0.2904991	-	10.63	XChIP
chr9	97285018	97285019	246772	-0.3106665	-	10.63	XChIP
chr7	117750794	117750795	225436	-0.3106665	+	10.63	XChIP
chr11	76420087	76420088	41980	-0.172475	-	10.66	XChIP
chr7	128208703	128208704	225912	-0.3106665	+	10.66	XChIP
chr7	108592909	108592910	225030	-0.2913459	+	10.66	XChIP
chr4	145216729	145216730	184164	-0.3106665	+	10.69	XChIP
chr17	67603187	67603188	99546	-0.2711784	-	10.69	XChIP
chr1	26010321	26010322	4822	-0.181826	-	10.69	XChIP
chr8	122677659	122677660	237877	0.06186215	+	10.69	XChIP
chr10	112435220	112435221	31256	-0.3106665	-	10.72	XChIP
chr5	68272505	68272506	191993	-0.293345	-	10.75	XChIP
chr10	91913024	91913025	29352	-0.3015188	-	10.75	XChIP
chr7	122532868	122532869	225621	-0.2720004	-	10.75	XChIP
chr1	224503480	224503481	20326	-0.3004936	+	10.75	XChIP
chr9	92502182	92502183	246174	-0.2151908	+	10.75	XChIP
chr11	32884975	32884976	37202	-0.2803262	+	10.78	XChIP
chr8	72995059	72995060	235204	-0.2121664	-	10.78	XChIP
chr20	13788362	13788363	143501	-0.243684	-	10.78	XChIP
chr13	20492835	20492836	58009	-0.1901519	+	10.78	XChIP
chr8	78852322	78852323	235446	-0.2358496	+	10.78	XChIP
chr18	48605642	48605643	108773	-0.3106665	-	10.81	XChIP
chr11	125423433	125423434	45538	-0.2516545	+	10.81	XChIP
chr4	119628970	119628971	182941	-0.2904991	+	10.81	XChIP
chrX	32531001	32531002	254573	-0.2618274	+	10.81	XChIP
chr3	49094676	49094677	165026	-0.3106665	+	10.84	XChIP
chr11	74488078	74488079	41706	-0.2803262	+	10.84	XChIP
chr12	125186243	125186244	56612	-0.3004936	-	10.84	XChIP
chr3	196942485	196942486	174913	-0.3106665	-	10.84	XChIP
chr9	72857243	72857244	244753	-0.2819948	+	10.84	XChIP
chr18	12744327	12744328	104594	-0.3106665	+	10.84	XChIP
chr7	104984201	104984202	224745	-0.2861964	-	10.84	XChIP
chr2	152627549	152627550	135419	-0.3106665	-	10.87	XChIP
chr12	74317177	74317178	52549	-0.3106665	-	10.87	XChIP
chr8	93991487	93991488	236220	-0.3106665	+	10.87	XChIP
chr10	11707379	11707380	23441	-0.2803262	+	10.91	XChIP
chr5	136062761	136062762	195712	-0.2904991	-	10.91	XChIP
chr11	115335092	115335093	44298	-0.1244827	+	10.91	XChIP
chr4	110509039	110509040	182513	-0.3106665	-	10.91	XChIP
chr2	122191529	122191530	133475	-0.28302	+	10.91	XChIP
chr4	80362776	80362777	181037	-0.3106665	+	10.94	XChIP
chr14	21068616	21068617	63880	-0.2516545	+	10.94	XChIP
chr3	172490320	172490321	173243	-0.204484	+	10.94	XChIP
chr5	50959056	50959057	191004	-0.2603828	+	10.94	XChIP
chr5	100623924	100623925	193700	-0.3106665	+	10.94	XChIP
chr20	37902344	37902345	147020	-0.3015188	+	10.97	XChIP
chr2	203909864	203909865	138394	-0.2720004	-	10.97	XChIP
chr11	117098673	117098674	44483	-0.2904991	-	11	XChIP
chr6	126176458	126176459	209174	-0.3015188	+	11.03	XChIP
chr4	105521019	105521020	182259	-0.2528317	+	11.06	XChIP
chr6	119978483	119978484	208859	-0.3004936	-	11.06	XChIP
chr12	55820883	55820884	51320	-0.3106665	+	11.06	XChIP
chr19	49751232	49751233	120632	-0.3106665	+	11.06	XChIP
chr11	22848426	22848427	36737	-0.2336895	+	11.06	XChIP
chr7	55280123	55280124	221222	-0.219467	+	11.09	XChIP
chr11	83293143	83293144	42472	-0.2414815	+	11.09	XChIP
chr7	116671915	116671916	225371	-0.3106665	+	11.09	XChIP
chr16	50067693	50067694	86365	-0.2508326	+	11.09	XChIP
chr14	75577851	75577852	67591	-0.3004936	+	11.09	XChIP
chr7	90262632	90262633	223383	-0.3015188	-	11.09	XChIP
chr6	137975837	137975838	209905	-0.3106665	-	11.12	XChIP
chr8	142943736	142943737	240032	-0.2610055	+	11.12	XChIP
chr10	75400035	75400036	27977	-0.2803262	+	11.12	XChIP
chr3	72265547	72265548	167097	-0.3106665	-	11.15	XChIP
chr11	13772640	13772641	36031	-0.2129883	+	11.15	XChIP
chr8	123463010	123463011	237943	-0.2943702	+	11.15	XChIP
chr3	169669281	169669282	173052	-0.3015188	-	11.15	XChIP
chr6	52234392	52234393	205434	-0.1988802	-	11.15	XChIP
chr1	155325309	155325310	14914	-0.2508326	-	11.15	XChIP
chr15	36501270	36501271	74003	-0.3106665	+	11.15	XChIP
chr1	3615328	3615329	1098	0.0661807375515087	-	11.15	XChIP
chr2	199851437	199851438	138096	-0.2833505	+	11.15	XChIP
chr6	7143796	7143797	201140	-0.293345	-	11.18	XChIP
chr1	91402156	91402157	10513	-0.3004936	-	11.18	XChIP
chr1	45843786	45843787	7497	-0.3106665	-	11.18	XChIP
chr12	110449847	110449848	54766	-0.293345	+	11.18	XChIP
chr19	12717076	12717077	114126	-0.3004936	+	11.18	XChIP
chr10	18312937	18312938	23974	-0.2819948	-	11.21	XChIP
chr4	16265020	16265021	177929	-0.3106665	-	11.21	XChIP
chr2	200576154	200576155	138143	-0.2813514	+	11.21	XChIP
chr12	91367437	91367438	53266	-0.2516545	-	11.24	XChIP
chr13	51435180	51435181	60300	-0.3015188	+	11.24	XChIP
chr5	61010978	61010979	191547	-0.3106665	+	11.24	XChIP
chr17	58122109	58122110	98597	-0.3106665	+	11.27	XChIP
chr12	96987138	96987139	53640	-0.1753209	+	11.27	XChIP
chr6	15286106	15286107	201718	-0.3106665	-	11.27	XChIP
chr11	40125315	40125316	37625	-0.3106665	-	11.27	XChIP
chr13	24728167	24728168	58375	-0.2414815	-	11.27	XChIP
chr16	88812556	88812557	90714	-0.3004936	+	11.3	XChIP
chr12	93979393	93979394	53401	-0.3015188	-	11.33	XChIP
chr11	47177469	47177470	38294	-0.3015188	-	11.33	XChIP
chr1	64744564	64744565	9143	-0.3106665	+	11.36	XChIP
chr14	32255038	32255039	64735	-0.2711784	-	11.36	XChIP
chr1	228102456	228102457	20777	-0.3106665	-	11.36	XChIP
chr7	134513372	134513373	226572	-0.2204922	-	11.36	XChIP
chr10	34522753	34522754	25009	-0.3106665	+	11.36	XChIP
chr6	154277447	154277448	210885	-0.2904991	-	11.39	XChIP
chr9	111691928	111691929	247820	-0.3015188	-	11.42	XChIP
chr14	22375529	22375530	64007	-0.2326643	-	11.42	XChIP
chr16	57859534	57859535	87229	-0.2813514	+	11.45	XChIP
chr6	2911883	2911884	200679	-0.2833505	-	11.45	XChIP
chr6	119720376	119720377	208850	-0.2425067	-	11.45	XChIP
chr5	141084589	141084590	196251	-0.3004936	+	11.45	XChIP
chr22	36195079	36195080	157493	-0.2943702	+	11.45	XChIP
chr1	21534975	21534976	4085	-0.2819948	-	11.51	XChIP
chr7	105374693	105374694	224765	-0.2904991	-	11.51	XChIP
chr6	40999720	40999721	204396	-0.2913459	+	11.54	XChIP
chr8	26661994	26661995	232011	-0.2445059	-	11.54	XChIP
chr1	39640045	39640046	6733	-0.2803262	-	11.57	XChIP
chr6	135075190	135075191	209688	-0.2904991	+	11.57	XChIP
chr4	121370924	121370925	183020	-0.2223393	+	11.57	XChIP
chr6	24667128	24667129	202335	-0.2656985	-	11.6	XChIP
chr2	73908113	73908114	129693	-0.3015188	+	11.6	XChIP
